symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
ADVANC,2026-03-05,1756.08,1655.43,3411.51,100.65,48.39,100.65
ADVANC,2026-03-06,757.42,1214.59,1972.02,-457.17,41.69,-356.52
ADVANC,2026-03-09,2001.15,1867.27,3868.42,133.88,47.12,-222.64
ADVANC,2026-03-10,948.61,1439.15,2387.76,-490.54,48.44,-713.18
ADVANC,2026-03-11,847.39,1190.31,2037.70,-342.92,46.78,-1056.10
ADVANC,2026-03-12,913.78,760.83,1674.61,152.95,47.37,-903.15
ADVANC,2026-03-13,861.31,1103.32,1964.63,-242.02,41.50,-1145.17
ADVANC,2026-03-16,1159.02,1051.43,2210.45,107.58,40.58,-1037.59
ADVANC,2026-03-17,1089.71,1276.71,2366.42,-186.99,35.67,-1224.58
ADVANC,2026-03-18,720.15,1021.94,1742.09,-301.79,41.07,-1526.37
ADVANC,2026-03-19,748.07,1107.97,1856.04,-359.90,38.62,-1886.27
ADVANC,2026-03-20,1104.35,1723.38,2827.73,-619.04,43.11,-2505.31
ADVANC,2026-03-23,840.57,1388.21,2228.78,-547.64,40.66,-3052.95
ADVANC,2026-03-24,622.43,1280.70,1903.13,-658.27,46.42,-3711.22
ADVANC,2026-03-25,632.40,716.93,1349.33,-84.54,33.53,-3795.76
ADVANC,2026-03-26,730.07,1004.67,1734.74,-274.61,35.58,-4070.37
ADVANC,2026-03-27,869.33,877.76,1747.09,-8.43,38.30,-4078.80
ADVANC,2026-03-30,731.61,644.69,1376.30,86.92,40.54,-3991.88
ADVANC,2026-03-31,936.97,883.21,1820.17,53.76,29.98,-3938.12
ADVANC,2026-04-01,1398.81,2431.46,3830.27,-1032.65,36.44,-4970.77
ADVANC,2026-04-02,870.54,905.99,1776.54,-35.45,30.62,-5006.22
ADVANC,2026-04-03,542.13,367.56,909.69,174.56,36.99,-4831.66
ADVANC,2026-04-07,852.56,845.44,1698.00,7.11,40.20,-4824.55
ADVANC,2026-04-08,953.13,950.55,1903.69,2.58,34.30,-4821.97
ADVANC,2026-04-09,1008.99,820.32,1829.31,188.67,41.31,-4633.30
ADVANC,2026-04-10,225.34,311.36,536.69,-86.02,41.08,-4719.32
ADVANC,2026-04-16,1580.67,1882.63,3463.29,-301.96,31.07,-5021.28
ADVANC,2026-04-17,809.82,2087.20,2897.02,-1277.38,27.74,-6298.66
ADVANC,2026-04-20,1025.94,795.41,1821.35,230.53,38.43,-6068.13
ADVANC,2026-04-21,650.25,699.49,1349.74,-49.24,36.92,-6117.37
