symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AOT,2026-03-05,946.25,1708.07,2654.33,-761.82,34.67,-761.82
AOT,2026-03-06,297.94,1110.50,1408.44,-812.56,35.86,-1574.38
AOT,2026-03-09,1059.31,1059.87,2119.18,-0.56,46.78,-1574.94
AOT,2026-03-10,265.11,741.34,1006.44,-476.23,38.09,-2051.17
AOT,2026-03-11,855.32,1304.60,2159.92,-449.28,36.06,-2500.45
AOT,2026-03-12,429.23,836.36,1265.58,-407.13,32.48,-2907.58
AOT,2026-03-13,366.96,762.37,1129.33,-395.41,27.35,-3302.99
AOT,2026-03-16,676.18,631.82,1308.00,44.37,34.07,-3258.62
AOT,2026-03-17,476.71,599.44,1076.15,-122.72,29.26,-3381.34
AOT,2026-03-18,377.30,379.87,757.17,-2.58,33.76,-3383.92
AOT,2026-03-19,412.85,683.51,1096.36,-270.66,35.19,-3654.58
AOT,2026-03-20,649.91,664.11,1314.02,-14.20,50.87,-3668.78
AOT,2026-03-23,472.48,821.28,1293.76,-348.80,32.58,-4017.58
AOT,2026-03-24,735.68,631.92,1367.60,103.76,38.08,-3913.82
AOT,2026-03-25,821.06,585.03,1406.09,236.03,30.44,-3677.79
AOT,2026-03-26,389.77,582.32,972.10,-192.55,34.38,-3870.34
AOT,2026-03-27,852.18,836.86,1689.04,15.32,30.71,-3855.02
AOT,2026-03-30,535.82,715.73,1251.55,-179.91,44.03,-4034.93
AOT,2026-03-31,616.12,453.10,1069.22,163.02,29.68,-3871.91
AOT,2026-04-01,747.27,582.61,1329.88,164.66,30.81,-3707.25
AOT,2026-04-02,384.22,359.36,743.59,24.86,33.98,-3682.39
AOT,2026-04-03,421.38,483.35,904.73,-61.97,42.53,-3744.36
AOT,2026-04-07,496.15,428.88,925.03,67.27,33.28,-3677.09
AOT,2026-04-08,585.36,493.66,1079.02,91.70,27.31,-3585.39
AOT,2026-04-09,433.46,406.97,840.43,26.49,29.73,-3558.90
AOT,2026-04-10,152.57,203.82,356.39,-51.25,31.87,-3610.15
AOT,2026-04-16,930.60,588.05,1518.65,342.54,29.80,-3267.61
AOT,2026-04-17,354.25,289.15,643.40,65.09,27.89,-3202.52
AOT,2026-04-20,261.73,187.62,449.35,74.11,32.90,-3128.41
AOT,2026-04-21,157.85,211.03,368.88,-53.18,37.64,-3181.59
