symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
AWC,2026-03-05,63.70,100.22,163.92,-36.51,30.29,-36.51
AWC,2026-03-06,43.28,54.48,97.76,-11.20,40.36,-47.71
AWC,2026-03-09,95.15,78.34,173.50,16.81,35.37,-30.90
AWC,2026-03-10,46.04,66.24,112.28,-20.21,35.13,-51.11
AWC,2026-03-11,42.52,67.04,109.55,-24.52,33.27,-75.63
AWC,2026-03-12,44.82,68.62,113.44,-23.80,31.71,-99.43
AWC,2026-03-13,22.74,48.45,71.19,-25.71,31.74,-125.14
AWC,2026-03-16,30.97,13.90,44.88,17.07,27.08,-108.07
AWC,2026-03-17,34.07,41.61,75.67,-7.54,25.07,-115.61
AWC,2026-03-18,14.64,35.64,50.28,-21.01,26.24,-136.62
AWC,2026-03-19,8.25,58.08,66.32,-49.83,20.60,-186.45
AWC,2026-03-20,19.38,21.92,41.30,-2.53,27.14,-188.98
AWC,2026-03-23,23.82,64.19,88.01,-40.37,28.35,-229.35
AWC,2026-03-24,26.22,27.49,53.71,-1.27,24.97,-230.62
AWC,2026-03-25,39.71,31.01,70.73,8.70,22.48,-221.92
AWC,2026-03-26,25.82,45.72,71.53,-19.90,36.66,-241.82
AWC,2026-03-27,41.17,26.30,67.48,14.87,37.07,-226.95
AWC,2026-03-30,39.98,39.29,79.27,0.68,42.99,-226.27
AWC,2026-03-31,33.49,25.04,58.53,8.45,25.03,-217.82
AWC,2026-04-01,40.76,49.51,90.27,-8.75,29.71,-226.57
AWC,2026-04-02,39.57,25.88,65.46,13.69,21.18,-212.88
AWC,2026-04-03,9.11,24.39,33.50,-15.28,28.50,-228.16
AWC,2026-04-07,26.29,7.47,33.76,18.82,25.03,-209.34
AWC,2026-04-08,46.90,38.48,85.38,8.42,21.82,-200.92
AWC,2026-04-09,20.68,36.93,57.60,-16.25,28.25,-217.17
AWC,2026-04-10,15.98,15.45,31.43,0.53,25.70,-216.64
AWC,2026-04-16,28.22,25.01,53.23,3.21,24.88,-213.43
AWC,2026-04-17,54.45,26.88,81.34,27.57,26.92,-185.86
AWC,2026-04-20,14.08,20.93,35.01,-6.85,37.67,-192.71
AWC,2026-04-21,13.09,21.33,34.41,-8.24,41.73,-200.95
