symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BANPU,2026-03-05,744.45,474.59,1219.04,269.86,23.54,269.86
BANPU,2026-03-06,187.08,259.97,447.05,-72.89,28.96,196.97
BANPU,2026-03-09,223.33,363.13,586.47,-139.80,29.11,57.17
BANPU,2026-03-10,104.71,98.20,202.91,6.51,30.48,63.68
BANPU,2026-03-11,103.85,108.90,212.75,-5.05,26.37,58.63
BANPU,2026-03-12,175.09,172.93,348.02,2.16,27.04,60.79
BANPU,2026-03-13,291.94,146.83,438.77,145.10,23.37,205.89
BANPU,2026-03-16,60.75,203.58,264.33,-142.83,24.88,63.06
BANPU,2026-03-17,78.63,77.27,155.90,1.36,23.69,64.42
BANPU,2026-03-18,36.39,85.94,122.33,-49.55,17.75,14.87
BANPU,2026-03-19,222.99,172.19,395.18,50.80,23.07,65.67
BANPU,2026-03-20,586.04,633.32,1219.36,-47.28,40.53,18.39
BANPU,2026-03-23,528.60,306.39,834.98,222.21,22.00,240.60
BANPU,2026-03-24,146.83,275.10,421.93,-128.27,25.73,112.33
BANPU,2026-03-25,201.07,160.71,361.79,40.36,22.43,152.69
BANPU,2026-03-26,49.56,123.48,173.05,-73.92,22.86,78.77
BANPU,2026-03-27,219.16,97.90,317.06,121.25,28.39,200.02
BANPU,2026-03-30,194.83,81.76,276.59,113.07,22.94,313.09
BANPU,2026-03-31,78.06,118.37,196.43,-40.31,27.41,272.78
BANPU,2026-04-01,104.06,114.24,218.30,-10.19,22.19,262.59
BANPU,2026-04-02,94.53,106.14,200.67,-11.61,25.55,250.98
BANPU,2026-04-03,22.25,66.31,88.57,-44.06,23.94,206.92
BANPU,2026-04-07,60.20,55.06,115.26,5.14,25.23,212.06
BANPU,2026-04-08,152.02,161.79,313.81,-9.77,20.12,202.29
BANPU,2026-04-09,95.02,74.42,169.44,20.60,22.69,222.89
BANPU,2026-04-10,55.76,91.32,147.08,-35.56,35.72,187.33
BANPU,2026-04-16,240.24,101.56,341.80,138.69,40.61,326.02
BANPU,2026-04-17,48.55,205.67,254.22,-157.12,24.07,168.90
BANPU,2026-04-20,51.18,67.35,118.53,-16.16,26.12,152.74
BANPU,2026-04-21,63.53,80.12,143.64,-16.59,34.65,136.15
