symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BBL,2026-03-05,2383.32,1101.62,3484.94,1281.70,37.27,1281.70
BBL,2026-03-06,353.54,465.74,819.28,-112.20,27.22,1169.50
BBL,2026-03-09,1085.58,1121.32,2206.90,-35.74,35.15,1133.76
BBL,2026-03-10,489.26,582.48,1071.74,-93.22,29.90,1040.54
BBL,2026-03-11,507.23,271.64,778.87,235.60,32.61,1276.14
BBL,2026-03-12,205.52,343.23,548.75,-137.71,30.10,1138.43
BBL,2026-03-13,295.96,294.22,590.19,1.74,35.32,1140.17
BBL,2026-03-16,136.49,391.18,527.67,-254.69,24.64,885.48
BBL,2026-03-17,458.35,281.96,740.31,176.38,29.89,1061.86
BBL,2026-03-18,372.54,224.65,597.19,147.88,30.16,1209.74
BBL,2026-03-19,704.39,417.77,1122.16,286.61,27.63,1496.35
BBL,2026-03-20,396.31,369.87,766.18,26.44,44.16,1522.79
BBL,2026-03-23,193.81,469.82,663.62,-276.01,34.68,1246.78
BBL,2026-03-24,951.25,408.25,1359.50,542.99,36.92,1789.77
BBL,2026-03-25,596.09,393.38,989.47,202.71,31.63,1992.48
BBL,2026-03-26,608.69,238.50,847.19,370.20,33.41,2362.68
BBL,2026-03-27,396.41,546.43,942.84,-150.02,36.70,2212.66
BBL,2026-03-30,300.74,349.38,650.12,-48.64,34.66,2164.02
BBL,2026-03-31,485.37,403.84,889.21,81.54,40.55,2245.56
BBL,2026-04-01,391.86,238.76,630.62,153.10,35.46,2398.66
BBL,2026-04-02,476.69,210.26,686.95,266.42,27.31,2665.08
BBL,2026-04-03,179.34,469.29,648.63,-289.95,30.22,2375.13
BBL,2026-04-07,176.34,236.94,413.27,-60.60,33.17,2314.53
BBL,2026-04-08,383.04,367.68,750.72,15.37,30.63,2329.90
BBL,2026-04-09,276.94,417.66,694.61,-140.72,42.69,2189.18
BBL,2026-04-10,367.81,332.04,699.85,35.76,30.52,2224.94
BBL,2026-04-16,689.86,840.47,1530.33,-150.60,26.33,2074.34
BBL,2026-04-17,156.08,423.19,579.27,-267.11,33.63,1807.23
BBL,2026-04-20,584.10,510.37,1094.47,73.72,38.48,1880.95
BBL,2026-04-21,799.89,804.74,1604.63,-4.85,28.63,1876.10
