symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BDMS,2026-03-05,702.49,1003.01,1705.50,-300.52,28.18,-300.52
BDMS,2026-03-06,584.44,593.97,1178.41,-9.53,25.83,-310.05
BDMS,2026-03-09,786.30,833.92,1620.21,-47.62,35.51,-357.67
BDMS,2026-03-10,514.59,816.13,1330.72,-301.54,24.48,-659.21
BDMS,2026-03-11,243.04,481.47,724.50,-238.43,23.75,-897.64
BDMS,2026-03-12,642.65,1102.33,1744.98,-459.68,37.97,-1357.32
BDMS,2026-03-13,223.58,519.53,743.11,-295.95,20.64,-1653.27
BDMS,2026-03-16,209.68,191.28,400.96,18.40,27.30,-1634.87
BDMS,2026-03-17,354.20,515.78,869.98,-161.59,30.26,-1796.46
BDMS,2026-03-18,327.11,349.30,676.40,-22.19,29.25,-1818.65
BDMS,2026-03-19,287.07,443.23,730.30,-156.16,21.50,-1974.81
BDMS,2026-03-20,792.47,683.11,1475.57,109.36,43.16,-1865.45
BDMS,2026-03-23,357.31,599.14,956.44,-241.83,25.88,-2107.28
BDMS,2026-03-24,209.27,322.20,531.47,-112.93,31.09,-2220.21
BDMS,2026-03-25,385.76,420.15,805.91,-34.40,28.91,-2254.61
BDMS,2026-03-26,98.30,336.36,434.66,-238.06,31.59,-2492.67
BDMS,2026-03-27,437.23,330.97,768.20,106.26,25.72,-2386.41
BDMS,2026-03-30,568.93,380.45,949.38,188.48,34.03,-2197.93
BDMS,2026-03-31,396.60,392.34,788.94,4.25,23.62,-2193.68
BDMS,2026-04-01,358.12,333.07,691.19,25.05,23.87,-2168.63
BDMS,2026-04-02,387.58,288.80,676.39,98.78,30.72,-2069.85
BDMS,2026-04-03,228.35,194.97,423.32,33.37,28.37,-2036.48
BDMS,2026-04-07,106.22,125.61,231.83,-19.38,20.41,-2055.86
BDMS,2026-04-08,422.04,227.87,649.91,194.18,30.47,-1861.68
BDMS,2026-04-09,156.20,486.77,642.97,-330.57,35.28,-2192.25
BDMS,2026-04-10,91.11,205.12,296.23,-114.01,16.28,-2306.26
BDMS,2026-04-16,624.63,511.47,1136.09,113.16,25.20,-2193.10
BDMS,2026-04-17,246.52,269.49,516.01,-22.98,32.52,-2216.08
BDMS,2026-04-20,183.05,197.19,380.24,-14.14,28.57,-2230.22
BDMS,2026-04-21,96.95,159.57,256.52,-62.62,30.04,-2292.84
