symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BEM,2026-03-05,109.46,164.72,274.18,-55.26,36.26,-55.26
BEM,2026-03-06,43.97,78.78,122.75,-34.81,28.39,-90.07
BEM,2026-03-09,60.03,80.66,140.69,-20.62,29.44,-110.69
BEM,2026-03-10,70.14,118.28,188.41,-48.14,35.09,-158.83
BEM,2026-03-11,46.76,77.87,124.63,-31.11,37.11,-189.94
BEM,2026-03-12,74.15,97.21,171.36,-23.06,36.53,-213.00
BEM,2026-03-13,18.18,59.58,77.75,-41.40,18.22,-254.40
BEM,2026-03-16,33.06,50.29,83.35,-17.23,41.35,-271.63
BEM,2026-03-17,80.35,53.34,133.69,27.02,27.41,-244.61
BEM,2026-03-18,32.90,61.35,94.25,-28.44,24.26,-273.05
BEM,2026-03-19,49.56,78.67,128.24,-29.11,35.69,-302.16
BEM,2026-03-20,87.47,60.30,147.77,27.17,34.58,-274.99
BEM,2026-03-23,17.84,72.75,90.58,-54.91,24.26,-329.90
BEM,2026-03-24,28.62,21.13,49.75,7.49,30.16,-322.41
BEM,2026-03-25,87.37,70.85,158.22,16.52,33.83,-305.89
BEM,2026-03-26,19.63,28.18,47.82,-8.55,24.19,-314.44
BEM,2026-03-27,39.48,29.64,69.12,9.84,26.89,-304.60
BEM,2026-03-30,44.36,35.61,79.98,8.75,32.62,-295.85
BEM,2026-03-31,56.35,40.83,97.18,15.51,27.69,-280.34
BEM,2026-04-01,45.74,46.38,92.12,-0.64,28.24,-280.98
BEM,2026-04-02,23.01,15.01,38.02,8.00,20.13,-272.98
BEM,2026-04-03,17.56,31.74,49.29,-14.18,33.28,-287.16
BEM,2026-04-07,16.13,8.71,24.84,7.43,16.87,-279.73
BEM,2026-04-08,79.17,26.69,105.86,52.49,20.83,-227.24
BEM,2026-04-09,23.77,41.62,65.39,-17.86,27.52,-245.10
BEM,2026-04-10,32.89,40.96,73.84,-8.07,28.42,-253.17
BEM,2026-04-16,16.25,21.99,38.24,-5.74,17.60,-258.91
BEM,2026-04-17,12.75,31.71,44.46,-18.96,14.68,-277.87
BEM,2026-04-20,16.25,25.81,42.06,-9.56,27.38,-287.43
BEM,2026-04-21,15.04,8.75,23.80,6.29,11.85,-281.14
