symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BH,2026-03-05,450.72,829.10,1279.82,-378.38,34.39,-378.38
BH,2026-03-06,327.67,355.04,682.71,-27.37,32.63,-405.75
BH,2026-03-09,563.68,447.07,1010.75,116.62,37.05,-289.13
BH,2026-03-10,241.65,555.93,797.58,-314.29,27.53,-603.42
BH,2026-03-11,264.58,475.30,739.88,-210.72,34.17,-814.14
BH,2026-03-12,298.34,403.95,702.29,-105.61,28.51,-919.75
BH,2026-03-13,209.25,447.58,656.83,-238.33,34.07,-1158.08
BH,2026-03-16,225.71,350.49,576.19,-124.78,26.58,-1282.86
BH,2026-03-17,153.04,477.05,630.09,-324.02,32.07,-1606.88
BH,2026-03-18,98.01,275.56,373.57,-177.56,21.59,-1784.44
BH,2026-03-19,130.27,330.17,460.45,-199.90,23.68,-1984.34
BH,2026-03-20,314.82,547.50,862.32,-232.68,39.29,-2217.02
BH,2026-03-23,251.20,342.05,593.25,-90.86,30.32,-2307.88
BH,2026-03-24,174.28,220.61,394.88,-46.33,33.45,-2354.21
BH,2026-03-25,365.38,480.72,846.10,-115.34,24.56,-2469.55
BH,2026-03-26,239.52,368.05,607.58,-128.53,33.15,-2598.08
BH,2026-03-27,339.38,223.87,563.25,115.52,33.35,-2482.56
BH,2026-03-30,376.83,209.17,586.00,167.66,41.71,-2314.90
BH,2026-03-31,163.86,399.05,562.91,-235.19,23.16,-2550.09
BH,2026-04-01,496.63,303.07,799.71,193.56,27.40,-2356.53
BH,2026-04-02,376.29,331.30,707.59,44.99,27.70,-2311.54
BH,2026-04-03,110.47,293.10,403.58,-182.63,29.46,-2494.17
BH,2026-04-07,168.76,170.05,338.81,-1.28,25.30,-2495.45
BH,2026-04-08,543.95,352.09,896.05,191.86,23.53,-2303.59
BH,2026-04-09,299.82,490.06,789.89,-190.24,31.25,-2493.83
BH,2026-04-10,266.61,258.39,525.00,8.23,30.22,-2485.60
BH,2026-04-16,342.61,328.16,670.77,14.45,24.30,-2471.15
BH,2026-04-17,289.43,224.49,513.92,64.94,31.95,-2406.21
BH,2026-04-20,172.81,225.94,398.76,-53.13,33.87,-2459.34
BH,2026-04-21,178.34,219.44,397.79,-41.10,29.01,-2500.44
