symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BJC,2026-03-05,79.91,110.97,190.88,-31.06,37.37,-31.06
BJC,2026-03-06,37.43,49.95,87.38,-12.52,46.95,-43.58
BJC,2026-03-09,42.94,56.27,99.21,-13.34,41.62,-56.92
BJC,2026-03-10,27.57,57.32,84.89,-29.75,43.50,-86.67
BJC,2026-03-11,30.71,49.55,80.26,-18.84,33.45,-105.51
BJC,2026-03-12,82.10,53.89,135.99,28.21,40.13,-77.30
BJC,2026-03-13,46.66,57.45,104.11,-10.79,35.67,-88.09
BJC,2026-03-16,41.31,39.24,80.54,2.07,33.03,-86.02
BJC,2026-03-17,37.41,32.05,69.46,5.36,29.98,-80.66
BJC,2026-03-18,17.59,42.16,59.75,-24.57,35.26,-105.23
BJC,2026-03-19,16.51,51.99,68.49,-35.48,20.31,-140.71
BJC,2026-03-20,39.77,42.18,81.95,-2.40,24.70,-143.11
BJC,2026-03-23,21.18,39.33,60.51,-18.15,26.24,-161.26
BJC,2026-03-24,27.28,33.06,60.34,-5.78,33.93,-167.04
BJC,2026-03-25,40.09,32.53,72.62,7.56,31.00,-159.48
BJC,2026-03-26,15.25,25.08,40.33,-9.83,27.50,-169.31
BJC,2026-03-27,49.64,21.96,71.61,27.68,38.25,-141.63
BJC,2026-03-30,77.12,44.49,121.61,32.64,39.58,-108.99
BJC,2026-03-31,43.99,72.25,116.24,-28.26,26.07,-137.25
BJC,2026-04-01,44.33,41.09,85.42,3.24,29.67,-134.01
BJC,2026-04-02,21.43,20.90,42.34,0.53,31.15,-133.48
BJC,2026-04-03,21.75,23.46,45.21,-1.71,35.04,-135.19
BJC,2026-04-07,21.32,15.29,36.61,6.03,35.79,-129.16
BJC,2026-04-08,26.47,9.23,35.69,17.24,20.22,-111.92
BJC,2026-04-09,25.52,22.97,48.49,2.55,33.18,-109.37
BJC,2026-04-10,9.78,12.24,22.02,-2.46,25.32,-111.83
BJC,2026-04-16,23.07,16.96,40.03,6.11,27.32,-105.72
BJC,2026-04-17,12.85,24.97,37.82,-12.12,31.47,-117.84
BJC,2026-04-20,18.38,21.98,40.36,-3.59,28.32,-121.43
BJC,2026-04-21,7.92,9.42,17.34,-1.50,27.66,-122.93
