symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
BTS,2026-03-05,81.45,114.62,196.07,-33.17,43.73,-33.17
BTS,2026-03-06,19.74,45.63,65.36,-25.89,37.70,-59.06
BTS,2026-03-09,64.10,77.31,141.41,-13.22,44.12,-72.28
BTS,2026-03-10,31.82,37.99,69.81,-6.17,41.75,-78.45
BTS,2026-03-11,33.27,54.60,87.87,-21.33,44.80,-99.78
BTS,2026-03-12,38.73,45.32,84.05,-6.59,41.65,-106.37
BTS,2026-03-13,8.65,22.89,31.53,-14.24,39.21,-120.61
BTS,2026-03-16,18.14,42.62,60.76,-24.49,31.64,-145.10
BTS,2026-03-17,52.51,24.87,77.38,27.64,32.58,-117.46
BTS,2026-03-18,3.38,23.91,27.29,-20.53,24.38,-137.99
BTS,2026-03-19,5.51,27.88,33.39,-22.38,23.43,-160.37
BTS,2026-03-20,33.88,11.80,45.68,22.08,26.63,-138.29
BTS,2026-03-23,10.12,30.47,40.59,-20.36,22.18,-158.65
BTS,2026-03-24,32.95,22.38,55.32,10.57,41.28,-148.08
BTS,2026-03-25,6.75,15.14,21.88,-8.39,21.90,-156.47
BTS,2026-03-26,12.07,23.34,35.42,-11.27,29.31,-167.74
BTS,2026-03-27,64.31,43.93,108.25,20.38,39.57,-147.36
BTS,2026-03-30,34.04,41.98,76.02,-7.95,41.97,-155.31
BTS,2026-03-31,51.45,31.67,83.12,19.78,21.42,-135.53
BTS,2026-04-01,51.69,45.78,97.47,5.91,33.50,-129.62
BTS,2026-04-02,64.26,23.29,87.55,40.96,36.45,-88.66
BTS,2026-04-03,17.46,33.16,50.62,-15.70,32.61,-104.36
BTS,2026-04-07,19.31,14.57,33.88,4.74,35.21,-99.62
BTS,2026-04-08,48.52,20.27,68.78,28.25,34.34,-71.37
BTS,2026-04-09,10.03,21.03,31.06,-11.00,29.43,-82.37
BTS,2026-04-10,11.65,2.09,13.74,9.56,23.10,-72.81
BTS,2026-04-16,23.26,18.19,41.44,5.07,39.84,-67.74
BTS,2026-04-17,6.82,23.34,30.17,-16.52,22.84,-84.26
BTS,2026-04-20,11.85,20.61,32.46,-8.76,36.94,-93.02
BTS,2026-04-21,2.10,5.76,7.86,-3.66,22.38,-96.68
