symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CBG,2026-03-05,63.90,112.19,176.08,-48.29,27.03,-48.29
CBG,2026-03-06,43.84,53.51,97.35,-9.67,32.27,-57.96
CBG,2026-03-09,70.11,64.78,134.90,5.33,34.08,-52.63
CBG,2026-03-10,46.36,88.16,134.52,-41.79,37.76,-94.42
CBG,2026-03-11,32.43,48.32,80.74,-15.89,39.29,-110.31
CBG,2026-03-12,59.20,75.97,135.18,-16.77,39.33,-127.08
CBG,2026-03-13,25.87,73.71,99.58,-47.84,30.07,-174.92
CBG,2026-03-16,29.77,38.74,68.51,-8.96,43.73,-183.88
CBG,2026-03-17,35.70,35.02,70.72,0.68,31.74,-183.20
CBG,2026-03-18,63.34,66.24,129.58,-2.90,31.97,-186.10
CBG,2026-03-19,42.31,70.86,113.17,-28.55,29.68,-214.65
CBG,2026-03-20,52.80,38.42,91.22,14.38,32.08,-200.27
CBG,2026-03-23,20.42,38.03,58.45,-17.61,26.52,-217.88
CBG,2026-03-24,49.61,39.48,89.10,10.13,36.23,-207.75
CBG,2026-03-25,55.00,32.01,87.01,22.99,35.62,-184.76
CBG,2026-03-26,26.49,31.39,57.88,-4.89,31.15,-189.65
CBG,2026-03-27,40.90,43.04,83.94,-2.14,33.82,-191.79
CBG,2026-03-30,71.08,35.41,106.50,35.67,34.28,-156.12
CBG,2026-03-31,79.12,60.14,139.26,18.98,30.04,-137.14
CBG,2026-04-01,48.75,55.26,104.01,-6.52,28.20,-143.66
CBG,2026-04-02,40.12,38.69,78.81,1.43,36.87,-142.23
CBG,2026-04-03,45.54,24.74,70.28,20.79,29.92,-121.44
CBG,2026-04-07,25.83,18.00,43.82,7.83,35.16,-113.61
CBG,2026-04-08,44.55,26.52,71.08,18.03,33.52,-95.58
CBG,2026-04-09,14.26,34.35,48.61,-20.09,31.83,-115.67
CBG,2026-04-10,14.40,13.00,27.41,1.40,24.01,-114.27
CBG,2026-04-16,66.96,43.47,110.43,23.49,36.21,-90.78
CBG,2026-04-17,11.93,30.68,42.61,-18.75,29.81,-109.53
CBG,2026-04-20,13.13,15.17,28.29,-2.04,24.44,-111.57
CBG,2026-04-21,20.86,22.75,43.61,-1.89,36.95,-113.46
