symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CCET,2026-03-05,85.50,105.59,191.09,-20.10,34.02,-20.10
CCET,2026-03-06,71.61,67.94,139.55,3.67,30.42,-16.43
CCET,2026-03-09,59.41,96.68,156.09,-37.28,29.04,-53.71
CCET,2026-03-10,142.68,101.89,244.57,40.80,28.32,-12.91
CCET,2026-03-11,51.81,100.29,152.11,-48.48,24.42,-61.39
CCET,2026-03-12,68.77,80.38,149.15,-11.61,32.66,-73.00
CCET,2026-03-13,24.28,70.72,95.00,-46.44,23.41,-119.44
CCET,2026-03-16,28.95,35.28,64.23,-6.33,26.61,-125.77
CCET,2026-03-17,110.29,91.69,201.98,18.59,19.50,-107.18
CCET,2026-03-18,71.77,76.55,148.32,-4.78,21.12,-111.96
CCET,2026-03-19,26.25,60.11,86.36,-33.86,25.84,-145.82
CCET,2026-03-20,28.64,43.22,71.86,-14.59,35.80,-160.41
CCET,2026-03-23,12.96,27.23,40.19,-14.26,25.46,-174.67
CCET,2026-03-24,17.38,24.07,41.44,-6.69,21.58,-181.36
CCET,2026-03-25,103.63,54.36,157.99,49.28,21.13,-132.08
CCET,2026-03-26,45.13,59.28,104.41,-14.15,28.03,-146.23
CCET,2026-03-27,19.64,27.94,47.58,-8.29,26.36,-154.52
CCET,2026-03-30,54.85,51.44,106.30,3.41,29.48,-151.11
CCET,2026-03-31,27.39,28.11,55.50,-0.72,23.98,-151.83
CCET,2026-04-01,103.34,73.60,176.94,29.74,17.21,-122.09
CCET,2026-04-02,34.06,53.50,87.56,-19.44,21.77,-141.53
CCET,2026-04-03,12.65,27.77,40.42,-15.13,24.49,-156.66
CCET,2026-04-07,21.41,24.29,45.70,-2.89,27.81,-159.55
CCET,2026-04-08,36.69,15.55,52.24,21.14,20.94,-138.41
CCET,2026-04-09,19.32,23.33,42.65,-4.01,17.56,-142.42
CCET,2026-04-10,59.38,51.67,111.06,7.71,21.73,-134.71
CCET,2026-04-16,52.58,47.87,100.45,4.71,19.63,-130.00
CCET,2026-04-17,35.60,30.48,66.08,5.12,19.27,-124.88
CCET,2026-04-20,22.57,25.27,47.84,-2.70,26.20,-127.58
CCET,2026-04-21,88.66,58.38,147.04,30.28,26.04,-97.30
