symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CENTEL,2026-03-05,62.39,109.77,172.17,-47.38,30.61,-47.38
CENTEL,2026-03-06,99.06,56.35,155.41,42.71,27.36,-4.67
CENTEL,2026-03-09,151.83,97.72,249.54,54.11,29.46,49.44
CENTEL,2026-03-10,96.06,129.73,225.79,-33.66,30.06,15.78
CENTEL,2026-03-11,61.87,57.75,119.62,4.13,33.25,19.91
CENTEL,2026-03-12,44.51,41.91,86.42,2.60,40.47,22.51
CENTEL,2026-03-13,91.45,102.55,194.00,-11.10,36.46,11.41
CENTEL,2026-03-16,53.87,30.10,83.97,23.78,28.02,35.19
CENTEL,2026-03-17,48.30,97.57,145.87,-49.27,26.86,-14.08
CENTEL,2026-03-18,42.19,53.35,95.53,-11.16,27.43,-25.24
CENTEL,2026-03-19,43.09,77.44,120.53,-34.35,34.31,-59.59
CENTEL,2026-03-20,37.31,45.39,82.70,-8.08,34.50,-67.67
CENTEL,2026-03-23,98.90,48.05,146.95,50.84,28.41,-16.83
CENTEL,2026-03-24,45.33,33.01,78.34,12.32,35.49,-4.51
CENTEL,2026-03-25,85.72,98.58,184.30,-12.86,23.95,-17.37
CENTEL,2026-03-26,21.08,58.81,79.90,-37.73,24.94,-55.10
CENTEL,2026-03-27,65.21,72.49,137.70,-7.28,25.09,-62.38
CENTEL,2026-03-30,50.43,34.57,85.00,15.86,31.87,-46.52
CENTEL,2026-03-31,52.17,45.40,97.57,6.77,32.74,-39.75
CENTEL,2026-04-01,67.17,58.72,125.89,8.45,23.85,-31.30
CENTEL,2026-04-02,61.76,55.34,117.11,6.42,28.32,-24.88
CENTEL,2026-04-03,26.19,39.64,65.83,-13.46,35.73,-38.34
CENTEL,2026-04-07,45.82,35.79,81.61,10.03,27.07,-28.31
CENTEL,2026-04-08,100.65,85.59,186.24,15.07,20.14,-13.24
CENTEL,2026-04-09,25.95,62.89,88.83,-36.94,21.90,-50.18
CENTEL,2026-04-10,21.21,16.47,37.69,4.74,29.80,-45.44
CENTEL,2026-04-16,96.86,56.78,153.64,40.09,28.08,-5.35
CENTEL,2026-04-17,50.01,39.73,89.74,10.28,26.23,4.93
CENTEL,2026-04-20,98.73,35.90,134.63,62.83,21.48,67.76
CENTEL,2026-04-21,73.69,64.57,138.26,9.12,26.60,76.88
