symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
COM7,2026-03-05,153.05,254.01,407.06,-100.96,39.15,-100.96
COM7,2026-03-06,122.21,152.38,274.58,-30.17,36.99,-131.13
COM7,2026-03-09,162.36,160.28,322.64,2.08,46.76,-129.05
COM7,2026-03-10,80.24,133.29,213.53,-53.05,37.47,-182.10
COM7,2026-03-11,144.25,206.56,350.81,-62.30,27.33,-244.40
COM7,2026-03-12,103.87,144.70,248.57,-40.82,29.59,-285.22
COM7,2026-03-13,59.52,105.48,165.00,-45.96,36.74,-331.18
COM7,2026-03-16,70.85,102.01,172.86,-31.16,26.54,-362.34
COM7,2026-03-17,64.83,178.56,243.39,-113.73,30.24,-476.07
COM7,2026-03-18,65.17,114.54,179.71,-49.37,33.18,-525.44
COM7,2026-03-19,149.87,215.96,365.83,-66.10,39.80,-591.54
COM7,2026-03-20,182.64,318.31,500.95,-135.67,52.89,-727.21
COM7,2026-03-23,106.36,134.91,241.27,-28.56,39.83,-755.77
COM7,2026-03-24,178.67,184.48,363.15,-5.81,39.69,-761.58
COM7,2026-03-25,60.78,107.27,168.05,-46.49,33.44,-808.07
COM7,2026-03-26,88.53,172.31,260.84,-83.79,37.03,-891.86
COM7,2026-03-27,122.05,93.93,215.97,28.12,41.01,-863.74
COM7,2026-03-30,98.08,94.79,192.87,3.30,39.83,-860.44
COM7,2026-03-31,96.99,98.77,195.76,-1.78,33.32,-862.22
COM7,2026-04-01,87.19,70.85,158.04,16.35,23.55,-845.87
COM7,2026-04-02,37.90,94.37,132.28,-56.47,26.89,-902.34
COM7,2026-04-03,32.75,45.81,78.56,-13.06,25.86,-915.40
COM7,2026-04-07,61.85,59.75,121.60,2.09,21.80,-913.31
COM7,2026-04-08,107.30,89.81,197.12,17.49,24.18,-895.82
COM7,2026-04-09,43.99,99.11,143.10,-55.12,25.08,-950.94
COM7,2026-04-10,96.96,80.58,177.54,16.37,21.60,-934.57
COM7,2026-04-16,187.64,232.12,419.76,-44.48,46.75,-979.05
COM7,2026-04-17,76.25,229.35,305.60,-153.09,30.23,-1132.14
COM7,2026-04-20,83.91,171.97,255.88,-88.06,35.85,-1220.20
COM7,2026-04-21,107.40,167.20,274.60,-59.81,35.48,-1280.01
