symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPALL,2026-03-05,434.21,1083.71,1517.92,-649.50,28.99,-649.50
CPALL,2026-03-06,319.89,620.09,939.97,-300.20,31.48,-949.70
CPALL,2026-03-09,823.82,955.88,1779.70,-132.06,37.03,-1081.76
CPALL,2026-03-10,490.38,725.33,1215.71,-234.95,31.00,-1316.71
CPALL,2026-03-11,697.50,1003.35,1700.85,-305.85,33.84,-1622.56
CPALL,2026-03-12,406.05,492.19,898.24,-86.14,30.20,-1708.70
CPALL,2026-03-13,558.51,677.19,1235.70,-118.68,32.90,-1827.38
CPALL,2026-03-16,524.34,744.01,1268.35,-219.67,41.12,-2047.05
CPALL,2026-03-17,481.32,404.35,885.68,76.97,23.59,-1970.08
CPALL,2026-03-18,509.32,453.53,962.85,55.78,34.72,-1914.30
CPALL,2026-03-19,264.56,619.60,884.16,-355.05,22.89,-2269.35
CPALL,2026-03-20,670.46,645.88,1316.33,24.58,35.41,-2244.77
CPALL,2026-03-23,317.30,749.39,1066.70,-432.09,29.99,-2676.86
CPALL,2026-03-24,372.38,248.89,621.27,123.48,26.75,-2553.38
CPALL,2026-03-25,342.01,475.40,817.41,-133.39,29.29,-2686.77
CPALL,2026-03-26,1006.09,849.02,1855.11,157.07,28.21,-2529.70
CPALL,2026-03-27,1042.68,413.67,1456.36,629.01,33.57,-1900.69
CPALL,2026-03-30,661.58,505.72,1167.30,155.87,45.34,-1744.82
CPALL,2026-03-31,412.11,468.68,880.80,-56.57,25.01,-1801.39
CPALL,2026-04-01,593.51,743.01,1336.53,-149.50,30.11,-1950.89
CPALL,2026-04-02,294.14,379.01,673.16,-84.87,24.54,-2035.76
CPALL,2026-04-03,480.16,407.63,887.79,72.53,28.82,-1963.23
CPALL,2026-04-07,306.18,211.79,517.97,94.38,27.89,-1868.85
CPALL,2026-04-08,720.47,637.74,1358.21,82.72,28.91,-1786.13
CPALL,2026-04-09,458.44,383.89,842.33,74.55,28.16,-1711.58
CPALL,2026-04-10,107.49,302.75,410.24,-195.26,23.73,-1906.84
CPALL,2026-04-16,330.39,659.51,989.89,-329.12,27.65,-2235.96
CPALL,2026-04-17,254.44,311.05,565.49,-56.60,33.59,-2292.56
CPALL,2026-04-20,710.98,573.13,1284.11,137.84,25.64,-2154.72
CPALL,2026-04-21,226.43,405.30,631.74,-178.87,25.82,-2333.59
