symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPF,2026-03-05,311.78,659.55,971.34,-347.77,44.30,-347.77
CPF,2026-03-06,156.08,213.67,369.75,-57.59,37.46,-405.36
CPF,2026-03-09,468.46,490.77,959.23,-22.31,45.05,-427.67
CPF,2026-03-10,189.77,208.35,398.13,-18.58,43.08,-446.25
CPF,2026-03-11,252.73,385.83,638.56,-133.10,42.31,-579.35
CPF,2026-03-12,210.28,153.22,363.50,57.05,40.62,-522.30
CPF,2026-03-13,234.67,210.24,444.90,24.43,42.17,-497.87
CPF,2026-03-16,267.43,201.82,469.25,65.61,40.41,-432.26
CPF,2026-03-17,382.74,277.88,660.61,104.86,40.29,-327.40
CPF,2026-03-18,278.10,205.61,483.71,72.49,37.38,-254.91
CPF,2026-03-19,320.11,449.62,769.72,-129.51,49.97,-384.42
CPF,2026-03-20,637.32,442.29,1079.61,195.03,58.98,-189.39
CPF,2026-03-23,205.61,521.60,727.22,-315.99,45.59,-505.38
CPF,2026-03-24,218.64,427.68,646.33,-209.04,46.95,-714.42
CPF,2026-03-25,292.12,356.30,648.42,-64.18,44.08,-778.60
CPF,2026-03-26,419.87,284.68,704.55,135.18,46.94,-643.42
CPF,2026-03-27,585.51,409.34,994.85,176.18,37.52,-467.24
CPF,2026-03-30,235.85,249.21,485.06,-13.36,40.18,-480.60
CPF,2026-03-31,229.18,206.06,435.24,23.12,38.22,-457.48
CPF,2026-04-01,164.64,131.63,296.28,33.01,37.96,-424.47
CPF,2026-04-02,404.28,306.85,711.13,97.42,40.73,-327.05
CPF,2026-04-03,88.24,95.62,183.85,-7.38,27.99,-334.43
CPF,2026-04-07,247.34,150.46,397.80,96.88,40.98,-237.55
CPF,2026-04-08,249.65,228.39,478.04,21.26,39.04,-216.29
CPF,2026-04-09,267.28,250.67,517.95,16.61,53.36,-199.68
CPF,2026-04-10,178.76,127.66,306.42,51.10,38.72,-148.58
CPF,2026-04-16,520.67,780.80,1301.47,-260.13,57.02,-408.71
CPF,2026-04-17,231.12,286.70,517.83,-55.58,51.73,-464.29
CPF,2026-04-20,400.37,321.57,721.94,78.80,50.92,-385.49
CPF,2026-04-21,261.41,284.90,546.31,-23.49,47.97,-408.98
