symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CPN,2026-03-05,558.05,535.88,1093.94,22.17,38.00,22.17
CPN,2026-03-06,241.45,374.07,615.52,-132.63,43.96,-110.46
CPN,2026-03-09,363.79,377.74,741.53,-13.95,47.31,-124.41
CPN,2026-03-10,178.15,371.07,549.23,-192.92,43.78,-317.33
CPN,2026-03-11,187.11,341.26,528.37,-154.15,49.78,-471.48
CPN,2026-03-12,333.75,468.12,801.87,-134.37,38.61,-605.85
CPN,2026-03-13,282.06,389.67,671.74,-107.61,46.05,-713.46
CPN,2026-03-16,175.35,140.88,316.23,34.47,45.80,-678.99
CPN,2026-03-17,142.60,207.71,350.31,-65.10,30.58,-744.09
CPN,2026-03-18,162.15,94.67,256.82,67.48,35.85,-676.61
CPN,2026-03-19,247.33,213.46,460.79,33.88,47.06,-642.73
CPN,2026-03-20,469.80,357.26,827.06,112.54,54.64,-530.19
CPN,2026-03-23,367.77,260.15,627.91,107.62,45.17,-422.57
CPN,2026-03-24,145.46,182.47,327.92,-37.01,45.36,-459.58
CPN,2026-03-25,275.29,299.12,574.41,-23.84,44.04,-483.42
CPN,2026-03-26,168.82,233.50,402.32,-64.68,53.33,-548.10
CPN,2026-03-27,434.09,366.03,800.12,68.07,40.31,-480.03
CPN,2026-03-30,219.48,199.77,419.25,19.71,42.22,-460.32
CPN,2026-03-31,266.34,271.73,538.07,-5.39,49.92,-465.71
CPN,2026-04-01,387.59,373.85,761.45,13.74,48.13,-451.97
CPN,2026-04-02,256.86,280.49,537.36,-23.63,48.82,-475.60
CPN,2026-04-03,110.60,111.83,222.43,-1.22,39.68,-476.82
CPN,2026-04-07,207.99,222.04,430.03,-14.05,47.03,-490.87
CPN,2026-04-08,271.45,229.55,501.00,41.90,43.80,-448.97
CPN,2026-04-09,203.13,365.08,568.21,-161.94,52.94,-610.91
CPN,2026-04-10,166.52,172.37,338.89,-5.85,44.35,-616.76
CPN,2026-04-16,333.41,256.83,590.24,76.58,45.75,-540.18
CPN,2026-04-17,85.98,117.53,203.51,-31.55,39.34,-571.73
CPN,2026-04-20,122.96,65.16,188.11,57.80,35.44,-513.93
CPN,2026-04-21,103.41,110.94,214.35,-7.53,47.79,-521.46
