symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
CRC,2026-03-05,149.23,208.12,357.35,-58.90,37.41,-58.90
CRC,2026-03-06,116.16,139.81,255.98,-23.65,36.96,-82.55
CRC,2026-03-09,161.61,132.65,294.25,28.96,34.80,-53.59
CRC,2026-03-10,64.40,158.36,222.77,-93.96,34.61,-147.55
CRC,2026-03-11,103.61,121.51,225.12,-17.90,31.90,-165.45
CRC,2026-03-12,133.40,113.25,246.66,20.15,25.87,-145.30
CRC,2026-03-13,202.13,179.94,382.07,22.18,34.88,-123.12
CRC,2026-03-16,79.89,95.96,175.85,-16.06,35.08,-139.18
CRC,2026-03-17,92.16,112.91,205.06,-20.75,27.05,-159.93
CRC,2026-03-18,56.32,116.23,172.55,-59.91,26.87,-219.84
CRC,2026-03-19,41.38,137.99,179.37,-96.61,16.74,-316.45
CRC,2026-03-20,106.26,121.70,227.96,-15.45,26.55,-331.90
CRC,2026-03-23,131.14,106.31,237.45,24.83,24.31,-307.07
CRC,2026-03-24,89.78,80.59,170.37,9.19,20.71,-297.88
CRC,2026-03-25,76.15,108.70,184.86,-32.55,21.20,-330.43
CRC,2026-03-26,85.18,72.88,158.07,12.30,19.76,-318.13
CRC,2026-03-27,141.46,79.17,220.62,62.29,34.01,-255.84
CRC,2026-03-30,187.15,81.89,269.04,105.25,35.79,-150.59
CRC,2026-03-31,135.51,72.47,207.98,63.04,31.72,-87.55
CRC,2026-04-01,137.05,202.82,339.87,-65.77,25.42,-153.32
CRC,2026-04-02,90.59,82.36,172.95,8.23,28.72,-145.09
CRC,2026-04-03,62.37,57.43,119.80,4.95,24.46,-140.14
CRC,2026-04-07,94.33,51.21,145.54,43.12,33.85,-97.02
CRC,2026-04-08,82.48,46.12,128.60,36.36,26.01,-60.66
CRC,2026-04-09,43.31,68.57,111.88,-25.26,37.39,-85.92
CRC,2026-04-10,38.08,31.60,69.69,6.48,27.37,-79.44
CRC,2026-04-16,100.72,84.91,185.63,15.82,27.19,-63.62
CRC,2026-04-17,30.85,58.08,88.93,-27.23,21.22,-90.85
CRC,2026-04-20,90.97,107.21,198.18,-16.24,28.03,-107.09
CRC,2026-04-21,98.91,52.39,151.30,46.52,28.18,-60.57
