symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
DELTA,2026-03-05,2441.20,3348.91,5790.12,-907.71,34.18,-907.71
DELTA,2026-03-06,1206.07,1861.66,3067.73,-655.59,37.37,-1563.30
DELTA,2026-03-09,2442.11,2787.17,5229.28,-345.06,38.36,-1908.36
DELTA,2026-03-10,1330.67,2264.98,3595.65,-934.30,33.22,-2842.66
DELTA,2026-03-11,1428.79,1971.53,3400.32,-542.74,32.79,-3385.40
DELTA,2026-03-12,915.46,1368.72,2284.18,-453.27,33.89,-3838.67
DELTA,2026-03-13,646.47,1572.69,2219.16,-926.22,30.03,-4764.89
DELTA,2026-03-16,934.47,782.56,1717.03,151.91,34.25,-4612.98
DELTA,2026-03-17,1666.12,1500.97,3167.09,165.15,29.37,-4447.83
DELTA,2026-03-18,1970.44,1967.33,3937.77,3.11,36.45,-4444.72
DELTA,2026-03-19,1396.69,2027.69,3424.38,-630.99,35.37,-5075.71
DELTA,2026-03-20,1975.72,2458.08,4433.80,-482.36,45.26,-5558.07
DELTA,2026-03-23,1201.68,1624.28,2825.96,-422.59,39.70,-5980.66
DELTA,2026-03-24,1559.43,1545.57,3105.00,13.85,39.77,-5966.81
DELTA,2026-03-25,4550.51,2295.25,6845.76,2255.26,33.70,-3711.55
DELTA,2026-03-26,1032.08,2151.63,3183.71,-1119.55,35.08,-4831.10
DELTA,2026-03-27,1339.02,1731.44,3070.47,-392.42,37.10,-5223.52
DELTA,2026-03-30,1950.73,2677.92,4628.65,-727.19,40.27,-5950.71
DELTA,2026-03-31,2776.21,3807.90,6584.11,-1031.69,35.54,-6982.40
DELTA,2026-04-01,2637.59,1841.76,4479.35,795.83,28.05,-6186.57
DELTA,2026-04-02,1828.26,1320.01,3148.27,508.25,36.28,-5678.32
DELTA,2026-04-03,758.12,774.18,1532.29,-16.06,32.23,-5694.38
DELTA,2026-04-07,1381.05,727.74,2108.79,653.31,31.65,-5041.07
DELTA,2026-04-08,1844.21,1667.42,3511.63,176.80,28.23,-4864.27
DELTA,2026-04-09,4784.21,2070.61,6854.81,2713.60,38.02,-2150.67
DELTA,2026-04-10,3402.36,1921.21,5323.57,1481.16,34.30,-669.51
DELTA,2026-04-16,1953.45,2755.03,4708.48,-801.57,43.35,-1471.08
DELTA,2026-04-17,992.31,906.11,1898.43,86.20,40.12,-1384.88
DELTA,2026-04-20,783.26,573.31,1356.57,209.95,34.73,-1174.93
DELTA,2026-04-21,936.73,780.77,1717.51,155.96,39.75,-1018.97
