symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
EGCO,2026-03-05,62.20,112.49,174.69,-50.29,47.36,-50.29
EGCO,2026-03-06,30.28,42.06,72.34,-11.77,45.57,-62.06
EGCO,2026-03-09,44.63,89.89,134.52,-45.26,34.74,-107.32
EGCO,2026-03-10,44.02,59.65,103.66,-15.63,35.91,-122.95
EGCO,2026-03-11,20.64,55.68,76.32,-35.03,40.72,-157.98
EGCO,2026-03-12,86.07,67.04,153.11,19.03,42.61,-138.95
EGCO,2026-03-13,16.26,94.62,110.88,-78.36,25.75,-217.31
EGCO,2026-03-16,22.09,45.91,68.00,-23.82,33.47,-241.13
EGCO,2026-03-17,40.84,37.49,78.33,3.35,37.90,-237.78
EGCO,2026-03-18,38.32,29.62,67.95,8.70,43.80,-229.08
EGCO,2026-03-19,10.89,40.51,51.40,-29.62,26.86,-258.70
EGCO,2026-03-20,128.30,102.96,231.26,25.34,56.65,-233.36
EGCO,2026-03-23,16.54,34.79,51.33,-18.26,29.99,-251.62
EGCO,2026-03-24,32.18,26.29,58.48,5.89,43.21,-245.73
EGCO,2026-03-25,46.84,39.24,86.07,7.60,37.58,-238.13
EGCO,2026-03-26,33.47,39.42,72.89,-5.96,22.59,-244.09
EGCO,2026-03-27,52.26,76.92,129.18,-24.66,51.81,-268.75
EGCO,2026-03-30,34.37,37.23,71.59,-2.86,42.01,-271.61
EGCO,2026-03-31,104.86,39.33,144.19,65.52,37.73,-206.09
EGCO,2026-04-01,45.69,47.05,92.75,-1.36,37.52,-207.45
EGCO,2026-04-02,21.81,31.96,53.78,-10.15,36.28,-217.60
EGCO,2026-04-03,38.05,51.11,89.16,-13.06,39.37,-230.66
EGCO,2026-04-07,37.06,15.95,53.01,21.11,38.16,-209.55
EGCO,2026-04-08,48.35,29.85,78.20,18.49,37.07,-191.06
EGCO,2026-04-09,26.84,22.27,49.11,4.57,46.07,-186.49
EGCO,2026-04-10,23.49,20.11,43.60,3.38,41.51,-183.11
EGCO,2026-04-16,36.12,52.21,88.33,-16.09,40.89,-199.20
EGCO,2026-04-17,11.18,22.50,33.68,-11.32,27.64,-210.52
EGCO,2026-04-20,43.97,26.00,69.97,17.97,37.16,-192.55
EGCO,2026-04-21,17.33,13.36,30.69,3.97,31.73,-188.58
