symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GPSC,2026-03-05,314.52,410.92,725.44,-96.39,36.61,-96.39
GPSC,2026-03-06,88.52,232.82,321.34,-144.29,32.84,-240.68
GPSC,2026-03-09,228.99,241.10,470.09,-12.11,37.82,-252.79
GPSC,2026-03-10,101.29,248.12,349.41,-146.83,29.28,-399.62
GPSC,2026-03-11,70.23,145.47,215.71,-75.24,44.50,-474.86
GPSC,2026-03-12,135.15,154.64,289.79,-19.49,32.05,-494.35
GPSC,2026-03-13,114.13,165.70,279.84,-51.57,31.03,-545.92
GPSC,2026-03-16,82.52,105.20,187.72,-22.67,35.13,-568.59
GPSC,2026-03-17,134.25,78.22,212.47,56.03,27.08,-512.56
GPSC,2026-03-18,131.83,155.84,287.67,-24.01,34.13,-536.57
GPSC,2026-03-19,121.63,190.35,311.98,-68.72,30.38,-605.29
GPSC,2026-03-20,158.99,93.20,252.19,65.79,31.86,-539.50
GPSC,2026-03-23,190.45,90.27,280.72,100.18,28.99,-439.32
GPSC,2026-03-24,197.40,193.28,390.67,4.12,32.35,-435.20
GPSC,2026-03-25,100.00,124.19,224.19,-24.19,22.78,-459.39
GPSC,2026-03-26,129.45,141.23,270.68,-11.77,38.27,-471.16
GPSC,2026-03-27,139.41,139.54,278.95,-0.12,25.24,-471.28
GPSC,2026-03-30,100.19,102.58,202.77,-2.39,39.93,-473.67
GPSC,2026-03-31,67.78,129.33,197.11,-61.54,26.96,-535.21
GPSC,2026-04-01,69.54,143.60,213.14,-74.07,18.10,-609.28
GPSC,2026-04-02,72.14,128.98,201.12,-56.84,21.97,-666.12
GPSC,2026-04-03,67.10,73.51,140.61,-6.41,32.17,-672.53
GPSC,2026-04-07,33.96,21.20,55.16,12.75,25.69,-659.78
GPSC,2026-04-08,103.43,103.11,206.55,0.32,18.94,-659.46
GPSC,2026-04-09,43.18,131.46,174.64,-88.29,24.87,-747.75
GPSC,2026-04-10,18.46,39.89,58.34,-21.43,21.77,-769.18
GPSC,2026-04-16,70.41,88.18,158.59,-17.77,23.09,-786.95
GPSC,2026-04-17,38.89,79.85,118.74,-40.97,32.97,-827.92
GPSC,2026-04-20,95.52,84.38,179.90,11.14,29.72,-816.78
GPSC,2026-04-21,27.57,69.13,96.70,-41.56,23.19,-858.34
