symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
GULF,2026-03-05,1913.90,2170.60,4084.50,-256.70,32.67,-256.70
GULF,2026-03-06,871.06,1026.29,1897.35,-155.22,31.94,-411.92
GULF,2026-03-09,1567.36,1907.07,3474.44,-339.71,34.44,-751.63
GULF,2026-03-10,630.41,988.69,1619.10,-358.28,27.73,-1109.91
GULF,2026-03-11,613.12,1001.22,1614.34,-388.10,27.03,-1498.01
GULF,2026-03-12,644.31,586.03,1230.34,58.28,28.78,-1439.73
GULF,2026-03-13,562.42,901.04,1463.46,-338.63,31.39,-1778.36
GULF,2026-03-16,582.14,803.99,1386.14,-221.85,31.39,-2000.21
GULF,2026-03-17,1038.55,1466.53,2505.08,-427.98,25.89,-2428.19
GULF,2026-03-18,501.77,879.65,1381.42,-377.88,22.67,-2806.07
GULF,2026-03-19,530.99,1064.63,1595.62,-533.63,27.99,-3339.70
GULF,2026-03-20,910.88,823.68,1734.56,87.20,37.30,-3252.50
GULF,2026-03-23,207.67,773.27,980.94,-565.60,24.43,-3818.10
GULF,2026-03-24,571.60,864.82,1436.43,-293.22,32.55,-4111.32
GULF,2026-03-25,990.14,708.00,1698.14,282.14,25.53,-3829.18
GULF,2026-03-26,775.64,796.30,1571.94,-20.66,30.64,-3849.84
GULF,2026-03-27,1038.49,681.94,1720.43,356.55,22.38,-3493.29
GULF,2026-03-30,469.59,910.65,1380.25,-441.06,28.14,-3934.35
GULF,2026-03-31,397.83,734.16,1131.99,-336.33,22.60,-4270.68
GULF,2026-04-01,574.51,569.86,1144.37,4.65,21.97,-4266.03
GULF,2026-04-02,249.63,426.23,675.86,-176.60,23.79,-4442.63
GULF,2026-04-03,510.23,615.53,1125.76,-105.29,20.23,-4547.92
GULF,2026-04-07,418.56,274.01,692.57,144.55,22.33,-4403.37
GULF,2026-04-08,743.31,564.94,1308.25,178.37,26.01,-4225.00
GULF,2026-04-09,573.42,721.47,1294.89,-148.05,22.60,-4373.05
GULF,2026-04-10,237.15,184.54,421.69,52.61,25.71,-4320.44
GULF,2026-04-16,422.24,377.53,799.78,44.71,16.05,-4275.73
GULF,2026-04-17,475.47,419.12,894.59,56.36,18.26,-4219.37
GULF,2026-04-20,367.78,223.75,591.53,144.04,34.23,-4075.33
GULF,2026-04-21,272.57,194.15,466.72,78.42,27.84,-3996.91
