symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
HMPRO,2026-03-05,114.60,223.37,337.98,-108.77,27.22,-108.77
HMPRO,2026-03-06,42.62,129.54,172.16,-86.92,30.37,-195.69
HMPRO,2026-03-09,97.14,110.15,207.30,-13.01,29.92,-208.70
HMPRO,2026-03-10,69.24,168.36,237.59,-99.12,31.39,-307.82
HMPRO,2026-03-11,84.61,82.06,166.67,2.54,35.79,-305.28
HMPRO,2026-03-12,38.34,70.82,109.16,-32.47,27.01,-337.75
HMPRO,2026-03-13,62.64,90.02,152.66,-27.38,21.84,-365.13
HMPRO,2026-03-16,48.26,56.37,104.62,-8.11,29.66,-373.24
HMPRO,2026-03-17,41.78,42.35,84.13,-0.57,26.09,-373.81
HMPRO,2026-03-18,65.05,47.77,112.82,17.28,26.36,-356.53
HMPRO,2026-03-19,24.59,87.47,112.06,-62.87,18.63,-419.40
HMPRO,2026-03-20,36.67,37.55,74.23,-0.88,25.12,-420.28
HMPRO,2026-03-23,44.04,57.56,101.61,-13.52,19.86,-433.80
HMPRO,2026-03-24,90.58,73.50,164.08,17.08,35.45,-416.72
HMPRO,2026-03-25,51.26,52.22,103.48,-0.96,23.92,-417.68
HMPRO,2026-03-26,31.31,50.59,81.91,-19.28,26.77,-436.96
HMPRO,2026-03-27,131.54,78.90,210.44,52.64,36.65,-384.32
HMPRO,2026-03-30,132.97,77.44,210.40,55.53,35.40,-328.79
HMPRO,2026-03-31,82.72,38.30,121.01,44.42,25.01,-284.37
HMPRO,2026-04-01,59.45,47.53,106.98,11.92,19.94,-272.45
HMPRO,2026-04-02,55.46,51.27,106.72,4.19,23.68,-268.26
HMPRO,2026-04-03,42.28,45.26,87.54,-2.99,39.13,-271.25
HMPRO,2026-04-07,55.48,29.78,85.26,25.70,26.58,-245.55
HMPRO,2026-04-08,87.90,18.83,106.73,69.07,33.41,-176.48
HMPRO,2026-04-09,22.49,54.18,76.67,-31.68,35.65,-208.16
HMPRO,2026-04-10,32.15,38.74,70.89,-6.60,31.87,-214.76
HMPRO,2026-04-16,66.06,29.41,95.47,36.64,37.45,-178.12
HMPRO,2026-04-17,22.02,42.55,64.57,-20.53,36.01,-198.65
HMPRO,2026-04-20,65.27,42.34,107.61,22.93,30.70,-175.72
HMPRO,2026-04-21,56.50,35.37,91.87,21.12,22.06,-154.60
