symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
IVL,2026-03-05,211.27,287.74,499.01,-76.47,29.94,-76.47
IVL,2026-03-06,183.34,184.51,367.84,-1.17,23.59,-77.64
IVL,2026-03-09,238.58,227.96,466.55,10.62,32.53,-67.02
IVL,2026-03-10,146.75,240.73,387.48,-93.98,35.45,-161.00
IVL,2026-03-11,106.74,116.99,223.72,-10.25,27.85,-171.25
IVL,2026-03-12,209.42,234.03,443.45,-24.61,23.21,-195.86
IVL,2026-03-13,84.52,198.66,283.17,-114.14,27.83,-310.00
IVL,2026-03-16,111.74,119.75,231.49,-8.02,24.46,-318.02
IVL,2026-03-17,367.38,279.01,646.38,88.37,21.21,-229.65
IVL,2026-03-18,204.34,458.49,662.83,-254.15,21.30,-483.80
IVL,2026-03-19,229.71,374.97,604.68,-145.26,19.72,-629.06
IVL,2026-03-20,149.95,230.00,379.95,-80.06,18.15,-709.12
IVL,2026-03-23,250.69,290.89,541.58,-40.20,18.15,-749.32
IVL,2026-03-24,240.30,240.93,481.24,-0.63,15.92,-749.95
IVL,2026-03-25,321.17,228.54,549.71,92.63,20.07,-657.32
IVL,2026-03-26,228.47,303.78,532.26,-75.31,22.61,-732.63
IVL,2026-03-27,211.92,77.89,289.81,134.04,32.18,-598.59
IVL,2026-03-30,858.19,490.69,1348.88,367.49,25.42,-231.10
IVL,2026-03-31,319.19,304.30,623.49,14.89,22.69,-216.21
IVL,2026-04-01,548.39,231.15,779.54,317.24,28.49,101.03
IVL,2026-04-02,178.88,184.83,363.72,-5.95,28.76,95.08
IVL,2026-04-03,190.94,181.90,372.84,9.04,35.11,104.12
IVL,2026-04-07,272.80,175.10,447.91,97.70,21.42,201.82
IVL,2026-04-08,289.62,301.47,591.09,-11.84,20.93,189.98
IVL,2026-04-09,240.17,304.17,544.34,-64.00,22.48,125.98
IVL,2026-04-10,123.26,89.91,213.17,33.34,27.93,159.32
IVL,2026-04-16,165.24,195.12,360.36,-29.87,22.48,129.45
IVL,2026-04-17,158.91,214.56,373.47,-55.65,23.49,73.80
IVL,2026-04-20,106.91,271.46,378.37,-164.56,21.86,-90.76
IVL,2026-04-21,162.27,248.64,410.91,-86.36,28.90,-177.12
