symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KBANK,2026-03-05,2036.15,2149.43,4185.59,-113.28,27.32,-113.28
KBANK,2026-03-06,868.41,1413.46,2281.87,-545.05,22.11,-658.33
KBANK,2026-03-09,1486.58,1620.63,3107.21,-134.05,27.75,-792.38
KBANK,2026-03-10,1001.32,1282.33,2283.65,-281.01,30.73,-1073.39
KBANK,2026-03-11,963.60,1291.64,2255.24,-328.03,32.07,-1401.42
KBANK,2026-03-12,947.12,1301.51,2248.63,-354.39,36.80,-1755.81
KBANK,2026-03-13,1058.70,1160.70,2219.40,-102.00,45.35,-1857.81
KBANK,2026-03-16,869.52,1290.56,2160.08,-421.04,24.73,-2278.85
KBANK,2026-03-17,652.80,635.20,1288.00,17.59,27.56,-2261.26
KBANK,2026-03-18,516.54,442.83,959.38,73.71,33.35,-2187.55
KBANK,2026-03-19,934.19,884.21,1818.40,49.98,30.13,-2137.57
KBANK,2026-03-20,921.36,825.05,1746.41,96.31,31.37,-2041.26
KBANK,2026-03-23,549.76,1109.26,1659.02,-559.50,34.65,-2600.76
KBANK,2026-03-24,1364.85,1005.22,2370.07,359.63,34.61,-2241.13
KBANK,2026-03-25,779.52,647.51,1427.03,132.02,27.90,-2109.11
KBANK,2026-03-26,1304.70,894.43,2199.13,410.27,43.44,-1698.84
KBANK,2026-03-27,821.98,921.33,1743.31,-99.34,38.93,-1798.18
KBANK,2026-03-30,700.07,772.90,1472.97,-72.84,44.11,-1871.02
KBANK,2026-03-31,615.67,654.03,1269.70,-38.37,35.37,-1909.39
KBANK,2026-04-01,727.97,596.91,1324.88,131.06,31.28,-1778.33
KBANK,2026-04-02,586.51,330.33,916.84,256.17,34.09,-1522.16
KBANK,2026-04-03,684.34,847.94,1532.29,-163.60,35.86,-1685.76
KBANK,2026-04-07,444.38,547.12,991.50,-102.75,41.98,-1788.51
KBANK,2026-04-08,810.93,468.36,1279.29,342.58,29.77,-1445.93
KBANK,2026-04-09,736.94,1058.51,1795.45,-321.56,37.44,-1767.49
KBANK,2026-04-10,706.95,777.78,1484.73,-70.83,37.32,-1838.32
KBANK,2026-04-16,1406.57,1422.41,2828.99,-15.84,23.32,-1854.16
KBANK,2026-04-17,869.46,1116.81,1986.26,-247.35,24.98,-2101.51
KBANK,2026-04-20,886.94,1342.30,2229.24,-455.36,22.07,-2556.87
KBANK,2026-04-21,4679.78,1598.92,6278.70,3080.86,29.19,523.99
