symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KKP,2026-03-05,187.77,222.48,410.25,-34.72,47.08,-34.72
KKP,2026-03-06,96.72,175.57,272.29,-78.85,48.77,-113.57
KKP,2026-03-09,175.04,195.39,370.43,-20.35,31.33,-133.92
KKP,2026-03-10,65.78,105.80,171.58,-40.02,34.43,-173.94
KKP,2026-03-11,114.63,87.14,201.77,27.49,43.54,-146.45
KKP,2026-03-12,104.01,82.68,186.69,21.32,48.53,-125.13
KKP,2026-03-13,152.74,140.14,292.88,12.60,48.50,-112.53
KKP,2026-03-16,51.15,68.22,119.37,-17.07,40.74,-129.60
KKP,2026-03-17,16.87,23.46,40.33,-6.59,33.26,-136.19
KKP,2026-03-18,57.95,55.54,113.49,2.41,45.27,-133.78
KKP,2026-03-19,26.70,81.65,108.35,-54.96,35.70,-188.74
KKP,2026-03-20,195.57,235.33,430.90,-39.75,68.22,-228.49
KKP,2026-03-23,87.72,88.95,176.67,-1.23,52.34,-229.72
KKP,2026-03-24,270.62,112.08,382.70,158.54,46.04,-71.18
KKP,2026-03-25,178.23,179.40,357.63,-1.18,50.82,-72.36
KKP,2026-03-26,207.97,173.13,381.10,34.83,38.98,-37.53
KKP,2026-03-27,139.64,121.65,261.28,17.99,45.93,-19.54
KKP,2026-03-30,93.83,77.45,171.28,16.38,39.28,-3.16
KKP,2026-03-31,107.39,87.84,195.24,19.55,42.46,16.39
KKP,2026-04-01,570.20,135.27,705.46,434.93,34.32,451.32
KKP,2026-04-02,136.28,120.06,256.34,16.22,32.07,467.54
KKP,2026-04-03,144.86,74.32,219.18,70.54,41.30,538.08
KKP,2026-04-07,80.27,78.95,159.22,1.32,37.37,539.40
KKP,2026-04-08,210.61,102.46,313.07,108.14,36.80,647.54
KKP,2026-04-09,96.60,87.24,183.84,9.35,48.55,656.89
KKP,2026-04-10,92.88,72.71,165.59,20.17,36.04,677.06
KKP,2026-04-16,184.91,269.40,454.31,-84.50,42.74,592.56
KKP,2026-04-17,118.44,216.99,335.43,-98.55,46.57,494.01
KKP,2026-04-20,490.84,255.01,745.85,235.82,30.24,729.83
KKP,2026-04-21,302.31,225.20,527.51,77.12,44.77,806.95
