symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KTB,2026-03-05,878.20,1402.12,2280.33,-523.92,31.96,-523.92
KTB,2026-03-06,424.67,994.17,1418.84,-569.51,35.25,-1093.43
KTB,2026-03-09,903.15,1273.40,2176.55,-370.25,34.63,-1463.68
KTB,2026-03-10,774.05,901.44,1675.49,-127.40,40.13,-1591.08
KTB,2026-03-11,572.81,894.43,1467.24,-321.62,31.52,-1912.70
KTB,2026-03-12,404.93,741.80,1146.73,-336.87,26.03,-2249.57
KTB,2026-03-13,447.47,754.33,1201.80,-306.87,35.11,-2556.44
KTB,2026-03-16,593.21,1092.60,1685.81,-499.39,41.31,-3055.83
KTB,2026-03-17,791.13,911.52,1702.65,-120.38,35.02,-3176.21
KTB,2026-03-18,552.73,789.29,1342.02,-236.55,34.53,-3412.76
KTB,2026-03-19,430.47,656.32,1086.79,-225.85,38.45,-3638.61
KTB,2026-03-20,399.61,468.05,867.67,-68.44,48.76,-3707.05
KTB,2026-03-23,141.73,511.52,653.25,-369.78,28.90,-4076.83
KTB,2026-03-24,1410.40,911.44,2321.84,498.96,38.51,-3577.87
KTB,2026-03-25,578.29,755.80,1334.09,-177.51,30.43,-3755.38
KTB,2026-03-26,743.97,685.79,1429.76,58.18,37.14,-3697.20
KTB,2026-03-27,486.35,566.61,1052.96,-80.26,35.72,-3777.46
KTB,2026-03-30,359.78,515.30,875.07,-155.52,34.55,-3932.98
KTB,2026-03-31,811.25,663.39,1474.64,147.85,31.38,-3785.13
KTB,2026-04-01,1092.22,747.43,1839.65,344.79,33.35,-3440.34
KTB,2026-04-02,656.61,492.40,1149.01,164.22,32.02,-3276.12
KTB,2026-04-03,335.70,423.35,759.05,-87.64,19.41,-3363.76
KTB,2026-04-07,255.63,296.92,552.55,-41.29,22.44,-3405.05
KTB,2026-04-08,464.63,607.79,1072.43,-143.16,24.44,-3548.21
KTB,2026-04-09,531.29,958.08,1489.37,-426.80,27.40,-3975.01
KTB,2026-04-10,802.25,624.66,1426.91,177.59,24.50,-3797.42
KTB,2026-04-16,1541.82,1480.97,3022.79,60.85,33.05,-3736.57
KTB,2026-04-17,1680.66,824.22,2504.87,856.44,31.50,-2880.13
KTB,2026-04-20,633.66,274.92,908.57,358.74,22.40,-2521.39
KTB,2026-04-21,1133.61,1104.77,2238.38,28.84,23.79,-2492.55
