symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
KTC,2026-03-05,215.55,530.21,745.76,-314.66,39.25,-314.66
KTC,2026-03-06,160.34,266.40,426.74,-106.06,46.08,-420.72
KTC,2026-03-09,374.33,378.08,752.41,-3.75,38.55,-424.47
KTC,2026-03-10,158.81,366.72,525.53,-207.91,29.82,-632.38
KTC,2026-03-11,137.58,190.92,328.50,-53.34,28.68,-685.72
KTC,2026-03-12,193.08,467.78,660.87,-274.70,32.02,-960.42
KTC,2026-03-13,85.28,186.21,271.49,-100.92,33.27,-1061.34
KTC,2026-03-16,109.27,221.38,330.65,-112.10,36.74,-1173.44
KTC,2026-03-17,96.80,117.41,214.21,-20.61,17.01,-1194.05
KTC,2026-03-18,73.47,175.30,248.77,-101.83,27.64,-1295.88
KTC,2026-03-19,117.70,224.30,342.00,-106.60,27.79,-1402.48
KTC,2026-03-20,129.81,163.28,293.09,-33.47,20.65,-1435.95
KTC,2026-03-23,96.82,177.40,274.22,-80.58,23.83,-1516.53
KTC,2026-03-24,88.28,126.80,215.08,-38.52,35.51,-1555.05
KTC,2026-03-25,116.08,128.14,244.22,-12.06,25.36,-1567.11
KTC,2026-03-26,112.51,157.39,269.90,-44.88,24.17,-1611.99
KTC,2026-03-27,163.49,122.03,285.52,41.46,29.32,-1570.53
KTC,2026-03-30,127.52,67.71,195.22,59.81,28.24,-1510.72
KTC,2026-03-31,114.21,136.10,250.31,-21.89,23.12,-1532.61
KTC,2026-04-01,173.68,132.65,306.33,41.03,21.71,-1491.58
KTC,2026-04-02,141.24,217.38,358.62,-76.14,32.95,-1567.72
KTC,2026-04-03,62.83,113.80,176.64,-50.97,26.33,-1618.69
KTC,2026-04-07,87.15,69.43,156.58,17.73,18.77,-1600.96
KTC,2026-04-08,155.58,202.33,357.91,-46.75,22.30,-1647.71
KTC,2026-04-09,49.56,202.81,252.37,-153.25,16.96,-1800.96
KTC,2026-04-10,59.59,96.66,156.25,-37.08,17.90,-1838.04
KTC,2026-04-16,146.83,92.33,239.16,54.50,23.17,-1783.54
KTC,2026-04-17,56.96,168.06,225.02,-111.11,22.70,-1894.65
KTC,2026-04-20,315.53,157.34,472.86,158.19,22.46,-1736.46
KTC,2026-04-21,48.71,100.73,149.44,-52.03,25.00,-1788.49
