symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
LH,2026-03-05,88.75,133.14,221.89,-44.40,32.64,-44.40
LH,2026-03-06,68.06,113.27,181.32,-45.21,40.19,-89.61
LH,2026-03-09,78.61,67.62,146.23,10.99,34.18,-78.62
LH,2026-03-10,40.91,60.28,101.19,-19.37,36.78,-97.99
LH,2026-03-11,40.73,48.82,89.56,-8.09,44.72,-106.08
LH,2026-03-12,35.42,45.76,81.18,-10.34,33.33,-116.42
LH,2026-03-13,25.01,29.60,54.61,-4.58,36.27,-121.00
LH,2026-03-16,21.44,24.00,45.44,-2.56,25.33,-123.56
LH,2026-03-17,31.23,30.83,62.06,0.40,25.12,-123.16
LH,2026-03-18,16.80,35.55,52.35,-18.75,20.60,-141.91
LH,2026-03-19,6.25,42.46,48.72,-36.21,20.94,-178.12
LH,2026-03-20,90.09,91.06,181.15,-0.97,45.75,-179.09
LH,2026-03-23,16.30,56.54,72.84,-40.24,31.85,-219.33
LH,2026-03-24,7.20,19.69,26.89,-12.49,18.54,-231.82
LH,2026-03-25,25.65,16.35,42.00,9.30,30.29,-222.52
LH,2026-03-26,14.62,21.74,36.36,-7.11,17.35,-229.63
LH,2026-03-27,29.88,23.15,53.04,6.73,33.88,-222.90
LH,2026-03-30,36.92,28.30,65.23,8.62,30.85,-214.28
LH,2026-03-31,52.12,28.71,80.83,23.40,38.16,-190.88
LH,2026-04-01,35.96,24.98,60.94,10.99,26.40,-179.89
LH,2026-04-02,35.17,20.38,55.55,14.79,27.45,-165.10
LH,2026-04-03,15.49,11.47,26.96,4.02,25.62,-161.08
LH,2026-04-07,20.26,18.51,38.77,1.75,27.28,-159.33
LH,2026-04-08,53.78,16.60,70.37,37.18,32.32,-122.15
LH,2026-04-09,14.68,21.47,36.15,-6.78,29.39,-128.93
LH,2026-04-10,19.61,19.31,38.92,0.29,37.62,-128.64
LH,2026-04-16,32.08,32.80,64.89,-0.72,34.66,-129.36
LH,2026-04-17,19.19,14.21,33.40,4.98,17.80,-124.38
LH,2026-04-20,21.53,17.53,39.06,3.99,37.73,-120.39
LH,2026-04-21,30.05,11.61,41.65,18.44,32.65,-101.95
