symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MINT,2026-03-05,292.80,641.52,934.32,-348.71,37.50,-348.71
MINT,2026-03-06,141.00,270.45,411.45,-129.45,29.57,-478.16
MINT,2026-03-09,289.62,296.13,585.75,-6.51,31.31,-484.67
MINT,2026-03-10,165.50,399.43,564.93,-233.93,34.29,-718.60
MINT,2026-03-11,142.55,387.03,529.58,-244.49,28.36,-963.09
MINT,2026-03-12,222.64,534.05,756.70,-311.41,33.19,-1274.50
MINT,2026-03-13,212.19,237.17,449.36,-24.98,40.32,-1299.48
MINT,2026-03-16,257.35,440.41,697.76,-183.06,33.95,-1482.54
MINT,2026-03-17,83.38,373.14,456.52,-289.76,42.27,-1772.30
MINT,2026-03-18,50.48,176.59,227.07,-126.11,25.11,-1898.41
MINT,2026-03-19,161.31,221.65,382.96,-60.34,30.95,-1958.75
MINT,2026-03-20,195.75,382.01,577.76,-186.26,43.21,-2145.01
MINT,2026-03-23,107.31,259.38,366.68,-152.07,30.33,-2297.08
MINT,2026-03-24,198.04,241.16,439.20,-43.12,33.53,-2340.20
MINT,2026-03-25,110.85,183.38,294.23,-72.52,27.37,-2412.72
MINT,2026-03-26,97.54,179.39,276.93,-81.84,23.17,-2494.56
MINT,2026-03-27,150.56,205.71,356.27,-55.14,36.39,-2549.70
MINT,2026-03-30,153.28,182.03,335.31,-28.75,28.46,-2578.45
MINT,2026-03-31,245.75,326.73,572.47,-80.98,41.33,-2659.43
MINT,2026-04-01,210.56,169.23,379.79,41.33,27.00,-2618.10
MINT,2026-04-02,190.64,156.04,346.68,34.60,30.44,-2583.50
MINT,2026-04-03,103.69,130.43,234.12,-26.74,30.43,-2610.24
MINT,2026-04-07,227.84,82.80,310.64,145.04,27.56,-2465.20
MINT,2026-04-08,279.79,137.92,417.72,141.87,27.73,-2323.33
MINT,2026-04-09,119.96,231.81,351.78,-111.85,39.96,-2435.18
MINT,2026-04-10,53.91,49.84,103.75,4.08,40.54,-2431.10
MINT,2026-04-16,303.71,194.36,498.06,109.35,36.21,-2321.75
MINT,2026-04-17,104.58,124.57,229.15,-19.98,33.26,-2341.73
MINT,2026-04-20,99.02,135.34,234.36,-36.32,43.95,-2378.05
MINT,2026-04-21,128.02,254.59,382.61,-126.57,37.77,-2504.62
