symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
MTC,2026-03-05,117.97,239.66,357.63,-121.69,28.56,-121.69
MTC,2026-03-06,216.39,147.60,363.99,68.79,23.21,-52.90
MTC,2026-03-09,340.23,177.54,517.77,162.68,33.31,109.78
MTC,2026-03-10,157.59,198.31,355.90,-40.72,30.82,69.06
MTC,2026-03-11,169.39,185.43,354.82,-16.04,34.89,53.02
MTC,2026-03-12,135.99,156.06,292.05,-20.08,30.06,32.94
MTC,2026-03-13,119.72,157.29,277.00,-37.57,27.10,-4.63
MTC,2026-03-16,107.58,108.31,215.89,-0.72,29.46,-5.35
MTC,2026-03-17,130.23,205.72,335.94,-75.49,25.54,-80.84
MTC,2026-03-18,218.01,162.31,380.32,55.70,29.41,-25.14
MTC,2026-03-19,202.69,185.79,388.48,16.91,28.63,-8.23
MTC,2026-03-20,189.72,279.75,469.47,-90.04,43.44,-98.27
MTC,2026-03-23,147.35,182.81,330.16,-35.46,24.71,-133.73
MTC,2026-03-24,125.42,148.02,273.45,-22.60,37.06,-156.33
MTC,2026-03-25,85.78,309.90,395.68,-224.12,26.36,-380.45
MTC,2026-03-26,132.44,296.28,428.72,-163.84,27.14,-544.29
MTC,2026-03-27,105.37,185.68,291.05,-80.30,28.65,-624.59
MTC,2026-03-30,141.32,132.58,273.90,8.74,26.83,-615.85
MTC,2026-03-31,173.60,254.93,428.52,-81.33,29.38,-697.18
MTC,2026-04-01,171.89,182.66,354.55,-10.77,21.22,-707.95
MTC,2026-04-02,33.75,39.98,73.73,-6.23,16.15,-714.18
MTC,2026-04-03,39.01,50.91,89.92,-11.89,23.99,-726.07
MTC,2026-04-07,98.34,43.34,141.69,55.00,26.13,-671.07
MTC,2026-04-08,202.19,91.29,293.47,110.90,21.52,-560.17
MTC,2026-04-09,35.67,127.83,163.50,-92.15,33.67,-652.32
MTC,2026-04-10,32.55,39.85,72.40,-7.30,23.01,-659.62
MTC,2026-04-16,63.17,85.90,149.07,-22.73,25.26,-682.35
MTC,2026-04-17,37.44,44.12,81.56,-6.68,21.59,-689.03
MTC,2026-04-20,102.78,65.17,167.95,37.61,23.08,-651.42
MTC,2026-04-21,51.18,96.85,148.03,-45.67,18.00,-697.09
