symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
OR,2026-03-05,254.31,431.37,685.68,-177.06,32.40,-177.06
OR,2026-03-06,69.34,183.31,252.64,-113.97,22.03,-291.03
OR,2026-03-09,295.73,224.00,519.73,71.74,28.32,-219.29
OR,2026-03-10,88.67,171.18,259.85,-82.51,34.40,-301.80
OR,2026-03-11,90.97,135.68,226.65,-44.70,32.49,-346.50
OR,2026-03-12,62.23,59.92,122.15,2.31,23.87,-344.19
OR,2026-03-13,81.43,111.09,192.52,-29.66,25.41,-373.85
OR,2026-03-16,81.08,52.21,133.29,28.87,24.44,-344.98
OR,2026-03-17,129.04,91.70,220.74,37.34,15.59,-307.64
OR,2026-03-18,68.11,177.76,245.88,-109.65,23.45,-417.29
OR,2026-03-19,48.21,108.93,157.14,-60.72,26.68,-478.01
OR,2026-03-20,64.39,38.26,102.66,26.13,29.82,-451.88
OR,2026-03-23,17.16,41.54,58.70,-24.39,15.59,-476.27
OR,2026-03-24,8.24,25.47,33.71,-17.23,19.59,-493.50
OR,2026-03-25,43.19,57.54,100.73,-14.35,19.99,-507.85
OR,2026-03-26,228.86,334.15,563.01,-105.30,14.56,-613.15
OR,2026-03-27,69.93,87.31,157.24,-17.39,11.44,-630.54
OR,2026-03-30,38.25,51.49,89.74,-13.24,19.86,-643.78
OR,2026-03-31,109.48,64.53,174.01,44.95,10.58,-598.83
OR,2026-04-01,157.97,144.95,302.92,13.02,19.19,-585.81
OR,2026-04-02,46.07,97.48,143.55,-51.41,18.61,-637.22
OR,2026-04-03,95.59,88.21,183.80,7.38,12.43,-629.84
OR,2026-04-07,121.08,100.28,221.36,20.80,24.02,-609.04
OR,2026-04-08,127.31,101.61,228.91,25.70,36.90,-583.34
OR,2026-04-09,74.54,103.70,178.24,-29.16,14.96,-612.50
OR,2026-04-10,37.42,25.25,62.67,12.17,17.13,-600.33
OR,2026-04-16,64.33,148.69,213.02,-84.36,39.14,-684.69
OR,2026-04-17,1.77,15.53,17.30,-13.76,17.50,-698.45
OR,2026-04-20,92.25,30.50,122.75,61.75,28.71,-636.70
OR,2026-04-21,25.46,68.83,94.29,-43.37,26.74,-680.07
