symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
OSP,2026-03-05,185.58,182.00,367.58,3.58,31.76,3.58
OSP,2026-03-06,79.51,69.44,148.96,10.07,33.21,13.65
OSP,2026-03-09,106.07,82.85,188.92,23.22,38.10,36.87
OSP,2026-03-10,61.09,174.86,235.94,-113.77,35.98,-76.90
OSP,2026-03-11,37.09,114.06,151.16,-76.97,33.24,-153.87
OSP,2026-03-12,91.41,77.04,168.45,14.37,32.66,-139.50
OSP,2026-03-13,11.67,54.56,66.22,-42.89,27.91,-182.39
OSP,2026-03-16,50.50,50.24,100.74,0.26,33.96,-182.13
OSP,2026-03-17,65.66,50.93,116.59,14.73,25.55,-167.40
OSP,2026-03-18,93.30,93.07,186.37,0.22,35.38,-167.18
OSP,2026-03-19,60.20,116.64,176.84,-56.44,35.33,-223.62
OSP,2026-03-20,54.30,52.19,106.49,2.11,31.32,-221.51
OSP,2026-03-23,45.06,61.38,106.44,-16.32,37.30,-237.83
OSP,2026-03-24,46.63,41.56,88.18,5.07,40.06,-232.76
OSP,2026-03-25,44.31,30.61,74.92,13.70,30.41,-219.06
OSP,2026-03-26,60.00,65.54,125.54,-5.53,43.31,-224.59
OSP,2026-03-27,111.10,43.26,154.36,67.84,41.95,-156.75
OSP,2026-03-30,88.11,47.61,135.72,40.50,39.95,-116.25
OSP,2026-03-31,83.01,71.21,154.23,11.80,33.47,-104.45
OSP,2026-04-01,71.17,58.85,130.02,12.33,22.99,-92.12
OSP,2026-04-02,31.63,29.86,61.49,1.78,25.39,-90.34
OSP,2026-04-03,44.25,39.81,84.06,4.44,31.43,-85.90
OSP,2026-04-07,67.27,23.26,90.53,44.01,38.61,-41.89
OSP,2026-04-08,38.03,33.14,71.17,4.89,30.06,-37.00
OSP,2026-04-09,23.91,44.76,68.67,-20.85,41.61,-57.85
OSP,2026-04-10,21.68,16.41,38.09,5.26,36.82,-52.59
OSP,2026-04-16,33.38,20.68,54.06,12.70,32.15,-39.89
OSP,2026-04-17,11.76,11.54,23.30,0.21,24.58,-39.68
OSP,2026-04-20,14.18,15.46,29.65,-1.28,38.39,-40.96
OSP,2026-04-21,30.01,19.18,49.19,10.83,27.48,-30.13
