symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTTEP,2026-03-05,1881.69,1317.59,3199.28,564.10,43.25,564.10
PTTEP,2026-03-06,1227.61,1493.86,2721.47,-266.24,37.25,297.86
PTTEP,2026-03-09,2095.74,2823.01,4918.75,-727.27,31.06,-429.41
PTTEP,2026-03-10,1635.62,1488.50,3124.13,147.12,35.13,-282.29
PTTEP,2026-03-11,1893.46,918.95,2812.41,974.51,33.87,692.22
PTTEP,2026-03-12,1545.29,1059.62,2604.90,485.67,38.76,1177.89
PTTEP,2026-03-13,2556.61,1109.80,3666.41,1446.81,28.31,2624.70
PTTEP,2026-03-16,639.81,1057.80,1697.61,-417.99,33.26,2206.71
PTTEP,2026-03-17,2001.95,947.17,2949.12,1054.78,29.36,3261.49
PTTEP,2026-03-18,704.54,780.11,1484.65,-75.57,36.00,3185.92
PTTEP,2026-03-19,3073.06,1391.73,4464.79,1681.32,25.73,4867.24
PTTEP,2026-03-20,1631.16,1460.82,3091.98,170.34,36.88,5037.58
PTTEP,2026-03-23,2057.43,1548.80,3606.23,508.64,36.10,5546.22
PTTEP,2026-03-24,2055.11,1715.26,3770.37,339.85,42.98,5886.07
PTTEP,2026-03-25,1016.53,592.77,1609.29,423.76,31.70,6309.83
PTTEP,2026-03-26,2606.80,1044.89,3651.68,1561.91,37.50,7871.74
PTTEP,2026-03-27,1551.09,548.23,2099.33,1002.86,31.39,8874.60
PTTEP,2026-03-30,1422.61,1342.14,2764.75,80.47,31.98,8955.07
PTTEP,2026-03-31,1609.45,1033.41,2642.86,576.04,34.05,9531.11
PTTEP,2026-04-01,1703.02,1380.63,3083.65,322.39,29.69,9853.50
PTTEP,2026-04-02,1559.89,1090.93,2650.82,468.96,35.11,10322.46
PTTEP,2026-04-03,169.83,657.55,827.38,-487.72,25.10,9834.74
PTTEP,2026-04-07,1163.93,581.37,1745.30,582.56,32.40,10417.30
PTTEP,2026-04-08,2184.88,1675.26,3860.14,509.62,32.46,10926.92
PTTEP,2026-04-09,2981.92,1882.80,4864.71,1099.12,39.67,12026.04
PTTEP,2026-04-10,944.09,388.19,1332.28,555.90,35.59,12581.94
PTTEP,2026-04-16,2395.78,1526.19,3921.96,869.59,32.73,13451.53
PTTEP,2026-04-17,2037.51,772.08,2809.59,1265.43,38.75,14716.96
PTTEP,2026-04-20,1587.51,1090.67,2678.18,496.84,32.47,15213.80
PTTEP,2026-04-21,750.69,533.08,1283.77,217.61,38.65,15431.41
