symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTTGC,2026-03-05,266.41,380.13,646.55,-113.72,33.01,-113.72
PTTGC,2026-03-06,464.23,274.31,738.55,189.92,38.71,76.20
PTTGC,2026-03-09,203.81,387.90,591.71,-184.09,29.46,-107.89
PTTGC,2026-03-10,136.10,257.32,393.42,-121.22,27.97,-229.11
PTTGC,2026-03-11,194.81,228.38,423.19,-33.57,26.03,-262.68
PTTGC,2026-03-12,635.13,574.47,1209.59,60.66,32.92,-202.02
PTTGC,2026-03-13,145.59,312.89,458.49,-167.30,32.06,-369.32
PTTGC,2026-03-16,334.36,285.36,619.71,49.00,35.42,-320.32
PTTGC,2026-03-17,471.53,315.96,787.48,155.57,20.31,-164.75
PTTGC,2026-03-18,358.73,341.69,700.42,17.04,20.76,-147.71
PTTGC,2026-03-19,544.82,594.41,1139.23,-49.58,31.46,-197.29
PTTGC,2026-03-20,499.51,383.03,882.54,116.48,34.96,-80.81
PTTGC,2026-03-23,385.21,439.31,824.52,-54.11,27.51,-134.92
PTTGC,2026-03-24,311.75,294.42,606.17,17.33,27.56,-117.59
PTTGC,2026-03-25,901.59,477.73,1379.33,423.86,37.36,306.27
PTTGC,2026-03-26,391.09,352.54,743.63,38.55,23.64,344.82
PTTGC,2026-03-27,413.87,261.86,675.74,152.01,29.07,496.83
PTTGC,2026-03-30,506.52,540.65,1047.18,-34.13,31.68,462.70
PTTGC,2026-03-31,588.70,369.62,958.32,219.08,30.89,681.78
PTTGC,2026-04-01,963.24,458.82,1422.07,504.42,31.57,1186.20
PTTGC,2026-04-02,306.36,351.06,657.41,-44.70,33.47,1141.50
PTTGC,2026-04-03,275.91,286.92,562.84,-11.01,27.18,1130.49
PTTGC,2026-04-07,819.74,571.20,1390.93,248.54,30.22,1379.03
PTTGC,2026-04-08,697.47,601.85,1299.32,95.62,27.60,1474.65
PTTGC,2026-04-09,458.81,246.32,705.13,212.49,33.36,1687.14
PTTGC,2026-04-10,204.71,374.44,579.15,-169.72,32.73,1517.42
PTTGC,2026-04-16,428.79,350.88,779.67,77.91,29.00,1595.33
PTTGC,2026-04-17,202.59,404.75,607.34,-202.15,32.15,1393.18
PTTGC,2026-04-20,259.88,341.50,601.38,-81.62,29.70,1311.56
PTTGC,2026-04-21,549.02,364.83,913.85,184.20,31.46,1495.76
