symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
PTT,2026-03-05,2866.93,2849.50,5716.43,17.43,46.47,17.43
PTT,2026-03-06,1334.78,1048.67,2383.45,286.12,44.03,303.55
PTT,2026-03-09,1597.56,1625.07,3222.64,-27.51,38.79,276.04
PTT,2026-03-10,1182.22,1665.63,2847.85,-483.41,47.28,-207.37
PTT,2026-03-11,1546.08,1514.58,3060.66,31.50,48.40,-175.87
PTT,2026-03-12,2626.96,2746.16,5373.11,-119.20,44.88,-295.07
PTT,2026-03-13,1544.19,1862.71,3406.89,-318.52,40.88,-613.59
PTT,2026-03-16,1226.61,1722.30,2948.91,-495.69,46.65,-1109.28
PTT,2026-03-17,1474.33,1071.50,2545.83,402.83,35.10,-706.45
PTT,2026-03-18,845.87,736.44,1582.31,109.43,51.05,-597.02
PTT,2026-03-19,1829.93,1612.94,3442.87,216.99,39.92,-380.03
PTT,2026-03-20,1437.57,1741.59,3179.16,-304.03,43.47,-684.06
PTT,2026-03-23,1102.75,1113.30,2216.05,-10.55,46.81,-694.61
PTT,2026-03-24,884.56,921.82,1806.38,-37.27,53.57,-731.88
PTT,2026-03-25,1792.61,1752.70,3545.30,39.91,49.86,-691.97
PTT,2026-03-26,2435.08,1906.52,4341.59,528.56,46.88,-163.41
PTT,2026-03-27,1606.64,1284.90,2891.54,321.74,45.19,158.33
PTT,2026-03-30,1066.54,1097.74,2164.28,-31.20,40.00,127.13
PTT,2026-03-31,1511.03,1670.47,3181.50,-159.44,42.53,-32.31
PTT,2026-04-01,1985.97,1717.04,3703.01,268.92,42.44,236.61
PTT,2026-04-02,1848.21,1179.70,3027.90,668.51,48.94,905.12
PTT,2026-04-03,1335.37,1482.22,2817.59,-146.85,41.84,758.27
PTT,2026-04-07,1639.09,1250.96,2890.05,388.13,45.97,1146.40
PTT,2026-04-08,1274.46,1171.60,2446.06,102.86,47.92,1249.26
PTT,2026-04-09,1167.85,1107.93,2275.78,59.92,41.46,1309.18
PTT,2026-04-10,797.78,1102.98,1900.76,-305.20,55.72,1003.98
PTT,2026-04-16,1064.44,1421.72,2486.15,-357.28,53.08,646.70
PTT,2026-04-17,806.87,601.38,1408.26,205.49,45.72,852.19
PTT,2026-04-20,1266.84,984.74,2251.58,282.10,50.73,1134.29
PTT,2026-04-21,653.93,848.49,1502.43,-194.56,50.52,939.73
