symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
RATCH,2026-03-05,93.29,99.53,192.83,-6.24,44.14,-6.24
RATCH,2026-03-06,13.45,36.29,49.73,-22.84,40.25,-29.08
RATCH,2026-03-09,79.77,83.58,163.35,-3.82,41.23,-32.90
RATCH,2026-03-10,50.49,68.11,118.61,-17.62,44.12,-50.52
RATCH,2026-03-11,32.51,34.30,66.81,-1.80,30.53,-52.32
RATCH,2026-03-12,77.05,46.53,123.57,30.52,55.19,-21.80
RATCH,2026-03-13,24.33,55.53,79.86,-31.20,38.77,-53.00
RATCH,2026-03-16,22.03,17.04,39.06,4.99,23.98,-48.01
RATCH,2026-03-17,51.13,36.29,87.43,14.84,40.33,-33.17
RATCH,2026-03-18,19.07,29.31,48.38,-10.24,35.10,-43.41
RATCH,2026-03-19,22.58,48.22,70.80,-25.64,37.93,-69.05
RATCH,2026-03-20,53.93,46.71,100.64,7.22,37.11,-61.83
RATCH,2026-03-23,12.87,40.88,53.75,-28.01,35.89,-89.84
RATCH,2026-03-24,16.74,12.03,28.77,4.71,30.97,-85.13
RATCH,2026-03-25,62.65,15.45,78.10,47.20,32.27,-37.93
RATCH,2026-03-26,44.43,30.50,74.93,13.94,36.31,-23.99
RATCH,2026-03-27,54.45,41.55,96.00,12.89,40.85,-11.10
RATCH,2026-03-30,36.40,29.61,66.01,6.79,31.05,-4.31
RATCH,2026-03-31,40.30,25.99,66.28,14.31,32.33,10.00
RATCH,2026-04-01,59.23,42.93,102.16,16.30,33.08,26.30
RATCH,2026-04-02,7.14,3.89,11.03,3.24,29.86,29.54
RATCH,2026-04-03,19.09,26.71,45.80,-7.62,29.47,21.92
RATCH,2026-04-07,51.41,37.25,88.66,14.16,32.59,36.08
RATCH,2026-04-08,21.56,7.19,28.76,14.37,35.50,50.45
RATCH,2026-04-09,16.21,28.91,45.12,-12.70,52.10,37.75
RATCH,2026-04-10,34.30,28.26,62.56,6.04,36.69,43.79
RATCH,2026-04-16,61.04,55.95,117.00,5.09,41.15,48.88
RATCH,2026-04-17,27.10,32.44,59.54,-5.35,42.85,43.53
RATCH,2026-04-20,21.04,24.54,45.58,-3.50,34.33,40.03
RATCH,2026-04-21,16.49,14.16,30.64,2.33,21.00,42.36
