symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SAWAD,2026-03-05,118.14,126.89,245.04,-8.75,23.87,-8.75
SAWAD,2026-03-06,65.44,75.57,141.01,-10.12,29.50,-18.87
SAWAD,2026-03-09,194.62,160.03,354.65,34.58,35.21,15.71
SAWAD,2026-03-10,150.43,181.01,331.44,-30.57,35.90,-14.86
SAWAD,2026-03-11,115.38,127.02,242.40,-11.63,30.58,-26.49
SAWAD,2026-03-12,112.61,93.07,205.68,19.55,41.14,-6.94
SAWAD,2026-03-13,58.22,128.39,186.60,-70.17,34.13,-77.11
SAWAD,2026-03-16,45.97,55.96,101.93,-10.00,26.65,-87.11
SAWAD,2026-03-17,38.36,70.15,108.51,-31.78,21.21,-118.89
SAWAD,2026-03-18,78.74,57.84,136.58,20.90,21.40,-97.99
SAWAD,2026-03-19,79.89,61.82,141.71,18.07,18.74,-79.92
SAWAD,2026-03-20,92.60,68.69,161.29,23.92,32.04,-56.00
SAWAD,2026-03-23,125.20,74.42,199.62,50.77,25.23,-5.23
SAWAD,2026-03-24,114.30,83.09,197.39,31.20,31.16,25.97
SAWAD,2026-03-25,92.04,137.23,229.27,-45.20,28.54,-19.23
SAWAD,2026-03-26,92.71,115.78,208.49,-23.07,21.32,-42.30
SAWAD,2026-03-27,138.50,101.87,240.37,36.63,33.31,-5.67
SAWAD,2026-03-30,161.15,98.03,259.18,63.11,30.68,57.44
SAWAD,2026-03-31,136.15,194.54,330.70,-58.39,24.71,-0.95
SAWAD,2026-04-01,191.09,216.22,407.31,-25.13,25.46,-26.08
SAWAD,2026-04-02,74.86,127.25,202.11,-52.39,27.83,-78.47
SAWAD,2026-04-03,70.73,62.59,133.32,8.13,26.31,-70.34
SAWAD,2026-04-07,70.85,43.18,114.04,27.67,29.99,-42.67
SAWAD,2026-04-08,161.20,125.80,287.00,35.40,22.06,-7.27
SAWAD,2026-04-09,22.48,105.82,128.30,-83.34,25.02,-90.61
SAWAD,2026-04-10,25.78,36.78,62.56,-11.00,19.56,-101.61
SAWAD,2026-04-16,115.73,122.99,238.72,-7.26,30.67,-108.87
SAWAD,2026-04-17,50.69,48.19,98.88,2.51,17.27,-106.36
SAWAD,2026-04-20,116.85,97.15,214.00,19.70,29.38,-86.66
SAWAD,2026-04-21,92.74,104.80,197.53,-12.06,34.30,-98.72
