symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCB,2026-03-05,1015.25,1211.59,2226.84,-196.34,36.80,-196.34
SCB,2026-03-06,331.72,1000.80,1332.53,-669.08,37.02,-865.42
SCB,2026-03-09,785.36,1329.86,2115.22,-544.50,35.06,-1409.92
SCB,2026-03-10,823.74,777.83,1601.57,45.90,38.36,-1364.02
SCB,2026-03-11,814.81,879.52,1694.33,-64.71,35.60,-1428.73
SCB,2026-03-12,334.89,386.06,720.95,-51.16,21.57,-1479.89
SCB,2026-03-13,862.12,799.43,1661.55,62.69,40.16,-1417.20
SCB,2026-03-16,291.04,690.15,981.18,-399.11,40.91,-1816.31
SCB,2026-03-17,246.36,337.49,583.86,-91.13,25.83,-1907.44
SCB,2026-03-18,435.04,222.20,657.23,212.84,28.68,-1694.60
SCB,2026-03-19,321.84,516.72,838.56,-194.88,27.26,-1889.48
SCB,2026-03-20,1035.07,957.63,1992.71,77.44,38.58,-1812.04
SCB,2026-03-23,601.04,963.51,1564.55,-362.47,25.90,-2174.51
SCB,2026-03-24,1605.65,1202.18,2807.84,403.47,32.71,-1771.04
SCB,2026-03-25,697.20,673.24,1370.44,23.97,29.65,-1747.07
SCB,2026-03-26,1297.78,817.70,2115.48,480.08,33.45,-1266.99
SCB,2026-03-27,1043.63,780.37,1824.00,263.26,32.55,-1003.73
SCB,2026-03-30,638.97,813.60,1452.58,-174.63,35.49,-1178.36
SCB,2026-03-31,1149.71,1551.10,2700.81,-401.39,35.07,-1579.75
SCB,2026-04-01,616.53,552.30,1168.83,64.23,27.61,-1515.52
SCB,2026-04-02,533.17,507.77,1040.95,25.40,28.21,-1490.12
SCB,2026-04-03,78.02,257.35,335.37,-179.34,20.74,-1669.46
SCB,2026-04-07,318.54,795.55,1114.09,-477.01,32.16,-2146.47
SCB,2026-04-08,521.74,464.22,985.96,57.53,28.85,-2088.94
SCB,2026-04-09,390.88,891.47,1282.35,-500.58,28.02,-2589.52
SCB,2026-04-10,425.77,793.87,1219.63,-368.10,32.32,-2957.62
SCB,2026-04-16,1117.02,1679.34,2796.36,-562.32,28.42,-3519.94
SCB,2026-04-17,682.23,1262.23,1944.46,-580.00,25.00,-4099.94
SCB,2026-04-20,983.98,1352.00,2335.97,-368.02,19.29,-4467.96
SCB,2026-04-21,703.82,1628.51,2332.33,-924.69,28.33,-5392.65
