symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCC,2026-03-05,312.52,496.59,809.11,-184.07,27.06,-184.07
SCC,2026-03-06,314.63,327.02,641.65,-12.39,30.90,-196.46
SCC,2026-03-09,878.90,906.30,1785.20,-27.40,30.50,-223.86
SCC,2026-03-10,299.92,472.11,772.02,-172.19,30.75,-396.05
SCC,2026-03-11,371.86,470.31,842.17,-98.45,34.01,-494.50
SCC,2026-03-12,341.56,468.23,809.79,-126.67,32.28,-621.17
SCC,2026-03-13,291.05,377.86,668.91,-86.80,39.00,-707.97
SCC,2026-03-16,209.64,222.06,431.70,-12.43,33.47,-720.40
SCC,2026-03-17,633.47,367.95,1001.42,265.51,39.62,-454.89
SCC,2026-03-18,236.39,382.28,618.66,-145.89,42.56,-600.78
SCC,2026-03-19,247.11,351.69,598.80,-104.57,36.22,-705.35
SCC,2026-03-20,448.28,442.16,890.45,6.12,45.30,-699.23
SCC,2026-03-23,207.55,260.87,468.42,-53.32,38.23,-752.55
SCC,2026-03-24,405.24,476.39,881.63,-71.15,32.70,-823.70
SCC,2026-03-25,708.62,468.67,1177.29,239.94,31.29,-583.76
SCC,2026-03-26,373.08,386.38,759.46,-13.29,47.58,-597.05
SCC,2026-03-27,501.82,486.29,988.11,15.53,30.26,-581.52
SCC,2026-03-30,485.08,417.55,902.63,67.53,28.69,-513.99
SCC,2026-03-31,369.70,513.96,883.66,-144.25,35.17,-658.24
SCC,2026-04-01,367.60,194.42,562.02,173.18,35.48,-485.06
SCC,2026-04-02,219.55,169.30,388.85,50.24,37.23,-434.82
SCC,2026-04-03,261.77,141.87,403.64,119.90,32.57,-314.92
SCC,2026-04-07,262.96,164.48,427.44,98.48,36.56,-216.44
SCC,2026-04-08,401.40,299.97,701.37,101.44,36.31,-115.00
SCC,2026-04-09,238.59,290.39,528.98,-51.80,36.99,-166.80
SCC,2026-04-10,239.37,210.86,450.24,28.51,22.39,-138.29
SCC,2026-04-16,2194.89,850.58,3045.47,1344.31,35.16,1206.02
SCC,2026-04-17,795.79,480.76,1276.55,315.03,31.02,1521.05
SCC,2026-04-20,747.54,454.92,1202.46,292.62,32.27,1813.67
SCC,2026-04-21,316.75,400.05,716.80,-83.31,46.72,1730.36
