symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
SCGP,2026-03-05,106.55,190.57,297.12,-84.03,37.99,-84.03
SCGP,2026-03-06,68.23,82.85,151.08,-14.61,43.29,-98.64
SCGP,2026-03-09,110.69,115.83,226.52,-5.14,33.15,-103.78
SCGP,2026-03-10,70.78,104.71,175.50,-33.93,37.61,-137.71
SCGP,2026-03-11,92.59,143.81,236.40,-51.22,28.93,-188.93
SCGP,2026-03-12,81.47,76.88,158.35,4.59,35.24,-184.34
SCGP,2026-03-13,63.75,118.01,181.76,-54.26,40.12,-238.60
SCGP,2026-03-16,42.82,64.07,106.89,-21.25,37.28,-259.85
SCGP,2026-03-17,192.97,128.57,321.54,64.41,23.23,-195.44
SCGP,2026-03-18,72.76,163.04,235.80,-90.28,23.61,-285.72
SCGP,2026-03-19,51.15,95.37,146.52,-44.22,33.77,-329.94
SCGP,2026-03-20,98.23,70.26,168.49,27.96,31.18,-301.98
SCGP,2026-03-23,63.53,88.03,151.56,-24.50,36.95,-326.48
SCGP,2026-03-24,108.72,131.40,240.11,-22.68,30.17,-349.16
SCGP,2026-03-25,155.10,154.19,309.29,0.91,25.44,-348.25
SCGP,2026-03-26,60.78,99.66,160.44,-38.87,34.86,-387.12
SCGP,2026-03-27,107.61,99.69,207.30,7.92,32.03,-379.20
SCGP,2026-03-30,160.96,108.96,269.92,52.00,26.74,-327.20
SCGP,2026-03-31,162.73,163.31,326.04,-0.58,44.31,-327.78
SCGP,2026-04-01,173.51,117.13,290.63,56.38,30.92,-271.40
SCGP,2026-04-02,145.20,124.26,269.46,20.93,38.57,-250.47
SCGP,2026-04-03,54.25,53.36,107.61,0.89,40.14,-249.58
SCGP,2026-04-07,64.26,54.44,118.69,9.82,36.54,-239.76
SCGP,2026-04-08,106.94,93.05,199.98,13.89,33.72,-225.87
SCGP,2026-04-09,69.74,113.12,182.86,-43.38,22.85,-269.25
SCGP,2026-04-10,164.46,66.27,230.72,98.19,31.48,-171.06
SCGP,2026-04-16,141.04,130.66,271.69,10.38,32.08,-160.68
SCGP,2026-04-17,80.30,41.39,121.69,38.92,32.39,-121.76
SCGP,2026-04-20,44.13,69.86,113.99,-25.74,23.20,-147.50
SCGP,2026-04-21,71.90,55.06,126.96,16.84,32.22,-130.66
