symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TCAP,2026-03-05,131.81,112.41,244.21,19.40,45.25,19.40
TCAP,2026-03-06,62.18,73.50,135.68,-11.31,43.68,8.09
TCAP,2026-03-09,89.77,154.64,244.41,-64.87,44.71,-56.78
TCAP,2026-03-10,81.29,97.22,178.51,-15.93,49.10,-72.71
TCAP,2026-03-11,44.76,86.04,130.80,-41.28,45.62,-113.99
TCAP,2026-03-12,72.01,100.17,172.18,-28.16,43.66,-142.15
TCAP,2026-03-13,67.43,82.37,149.80,-14.93,48.34,-157.08
TCAP,2026-03-16,57.88,95.27,153.15,-37.39,47.01,-194.47
TCAP,2026-03-17,31.88,53.75,85.63,-21.87,45.58,-216.34
TCAP,2026-03-18,53.69,70.56,124.25,-16.87,43.77,-233.21
TCAP,2026-03-19,82.08,101.58,183.66,-19.50,47.41,-252.71
TCAP,2026-03-20,107.42,156.65,264.07,-49.23,65.22,-301.94
TCAP,2026-03-23,81.91,72.40,154.31,9.52,36.02,-292.42
TCAP,2026-03-24,82.04,65.73,147.77,16.30,45.30,-276.12
TCAP,2026-03-25,45.40,57.78,103.18,-12.38,39.78,-288.50
TCAP,2026-03-26,82.09,75.41,157.50,6.68,45.16,-281.82
TCAP,2026-03-27,56.95,56.84,113.79,0.11,46.65,-281.71
TCAP,2026-03-30,28.73,53.20,81.93,-24.47,50.70,-306.18
TCAP,2026-03-31,64.88,67.40,132.28,-2.51,45.54,-308.69
TCAP,2026-04-01,65.13,65.71,130.83,-0.58,37.25,-309.27
TCAP,2026-04-02,29.70,35.11,64.81,-5.41,32.18,-314.68
TCAP,2026-04-03,25.97,40.12,66.08,-14.15,42.67,-328.83
TCAP,2026-04-07,41.35,40.41,81.76,0.94,33.33,-327.89
TCAP,2026-04-08,48.94,44.75,93.68,4.19,33.53,-323.70
TCAP,2026-04-09,26.23,58.87,85.10,-32.64,39.51,-356.34
TCAP,2026-04-10,18.30,55.65,73.95,-37.35,26.50,-393.69
TCAP,2026-04-16,48.60,80.85,129.45,-32.24,30.44,-425.93
TCAP,2026-04-17,30.13,61.01,91.14,-30.88,41.69,-456.81
TCAP,2026-04-20,55.74,44.92,100.66,10.83,48.74,-445.98
TCAP,2026-04-21,73.71,37.07,110.78,36.64,40.79,-409.34
