symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TIDLOR,2026-03-05,117.39,245.06,362.46,-127.67,39.17,-127.67
TIDLOR,2026-03-06,52.30,104.91,157.20,-52.61,40.06,-180.28
TIDLOR,2026-03-09,142.09,234.78,376.87,-92.70,44.42,-272.98
TIDLOR,2026-03-10,87.18,143.59,230.77,-56.40,48.27,-329.38
TIDLOR,2026-03-11,59.06,99.70,158.76,-40.64,34.52,-370.02
TIDLOR,2026-03-12,49.72,104.73,154.45,-55.01,34.96,-425.03
TIDLOR,2026-03-13,39.80,77.75,117.55,-37.94,22.54,-462.97
TIDLOR,2026-03-16,32.41,34.15,66.57,-1.74,22.24,-464.71
TIDLOR,2026-03-17,50.19,119.67,169.85,-69.48,25.70,-534.19
TIDLOR,2026-03-18,18.50,71.59,90.09,-53.09,13.82,-587.28
TIDLOR,2026-03-19,80.84,111.28,192.12,-30.44,20.21,-617.72
TIDLOR,2026-03-20,90.60,194.24,284.84,-103.65,39.32,-721.37
TIDLOR,2026-03-23,139.07,140.74,279.81,-1.67,24.20,-723.04
TIDLOR,2026-03-24,136.20,135.83,272.03,0.36,36.90,-722.68
TIDLOR,2026-03-25,157.92,292.47,450.39,-134.55,32.18,-857.23
TIDLOR,2026-03-26,42.96,144.74,187.70,-101.78,19.95,-959.01
TIDLOR,2026-03-27,93.15,133.10,226.25,-39.94,30.22,-998.95
TIDLOR,2026-03-30,127.71,110.45,238.16,17.26,30.21,-981.69
TIDLOR,2026-03-31,116.29,104.12,220.41,12.17,30.38,-969.52
TIDLOR,2026-04-01,120.11,180.05,300.16,-59.94,22.30,-1029.46
TIDLOR,2026-04-02,45.31,105.93,151.24,-60.62,28.32,-1090.08
TIDLOR,2026-04-03,24.58,39.85,64.43,-15.27,17.11,-1105.35
TIDLOR,2026-04-07,93.09,73.67,166.76,19.41,10.62,-1085.94
TIDLOR,2026-04-08,151.90,46.96,198.87,104.94,17.04,-981.00
TIDLOR,2026-04-09,35.83,56.69,92.52,-20.86,17.85,-1001.86
TIDLOR,2026-04-10,22.81,27.61,50.42,-4.79,22.70,-1006.65
TIDLOR,2026-04-16,44.11,116.40,160.50,-72.29,27.01,-1078.94
TIDLOR,2026-04-17,25.11,64.66,89.77,-39.56,30.62,-1118.50
TIDLOR,2026-04-20,129.56,150.91,280.47,-21.35,23.79,-1139.85
TIDLOR,2026-04-21,136.58,113.57,250.16,23.01,11.51,-1116.84
