symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TISCO,2026-03-05,105.75,207.35,313.11,-101.60,29.74,-101.60
TISCO,2026-03-06,64.66,225.12,289.78,-160.46,34.80,-262.06
TISCO,2026-03-09,150.77,402.08,552.86,-251.31,32.11,-513.37
TISCO,2026-03-10,205.46,342.99,548.44,-137.53,46.73,-650.90
TISCO,2026-03-11,183.82,277.93,461.75,-94.11,49.95,-745.01
TISCO,2026-03-12,121.70,213.35,335.05,-91.65,47.57,-836.66
TISCO,2026-03-13,77.25,79.77,157.02,-2.51,31.32,-839.17
TISCO,2026-03-16,130.89,219.98,350.87,-89.08,33.44,-928.25
TISCO,2026-03-17,87.20,66.05,153.25,21.15,27.41,-907.10
TISCO,2026-03-18,161.65,108.32,269.96,53.33,31.76,-853.77
TISCO,2026-03-19,320.03,200.45,520.48,119.57,43.47,-734.20
TISCO,2026-03-20,368.81,485.12,853.93,-116.31,45.39,-850.51
TISCO,2026-03-23,140.24,343.32,483.56,-203.07,36.60,-1053.58
TISCO,2026-03-24,338.27,248.16,586.43,90.11,42.78,-963.47
TISCO,2026-03-25,141.31,173.29,314.60,-31.99,37.55,-995.46
TISCO,2026-03-26,67.24,123.96,191.20,-56.72,25.43,-1052.18
TISCO,2026-03-27,148.66,166.30,314.96,-17.64,39.03,-1069.82
TISCO,2026-03-30,98.56,153.09,251.64,-54.53,31.87,-1124.35
TISCO,2026-03-31,88.81,76.37,165.18,12.44,37.06,-1111.91
TISCO,2026-04-01,179.75,137.94,317.69,41.82,33.00,-1070.09
TISCO,2026-04-02,274.85,241.08,515.93,33.77,46.31,-1036.32
TISCO,2026-04-03,34.65,6.45,41.10,28.20,23.89,-1008.12
TISCO,2026-04-07,330.80,185.06,515.86,145.74,30.11,-862.38
TISCO,2026-04-08,123.89,121.01,244.91,2.88,29.46,-859.50
TISCO,2026-04-09,163.37,149.46,312.83,13.92,41.12,-845.58
TISCO,2026-04-10,61.72,77.28,139.01,-15.56,33.43,-861.14
TISCO,2026-04-16,196.46,358.28,554.74,-161.82,31.59,-1022.96
TISCO,2026-04-17,130.39,252.37,382.77,-121.98,36.95,-1144.94
TISCO,2026-04-20,184.49,347.55,532.04,-163.06,33.88,-1308.00
TISCO,2026-04-21,190.41,169.72,360.13,20.69,31.24,-1287.31
