symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TLI,2026-03-05,81.43,196.26,277.70,-114.83,42.03,-114.83
TLI,2026-03-06,19.36,65.61,84.98,-46.25,40.36,-161.08
TLI,2026-03-09,60.84,121.71,182.56,-60.87,40.26,-221.95
TLI,2026-03-10,41.24,92.08,133.32,-50.84,45.34,-272.79
TLI,2026-03-11,49.72,86.54,136.27,-36.82,42.16,-309.61
TLI,2026-03-12,43.73,78.39,122.13,-34.66,47.80,-344.27
TLI,2026-03-13,18.43,67.31,85.74,-48.88,35.11,-393.15
TLI,2026-03-16,14.08,28.05,42.12,-13.97,22.64,-407.12
TLI,2026-03-17,34.90,74.41,109.31,-39.52,30.12,-446.64
TLI,2026-03-18,13.75,31.93,45.68,-18.18,41.07,-464.82
TLI,2026-03-19,21.09,56.22,77.31,-35.13,38.43,-499.95
TLI,2026-03-20,58.29,67.38,125.66,-9.09,42.64,-509.04
TLI,2026-03-23,13.51,66.66,80.18,-53.15,25.49,-562.19
TLI,2026-03-24,24.18,21.78,45.96,2.40,22.06,-559.79
TLI,2026-03-25,30.72,25.61,56.34,5.11,33.85,-554.68
TLI,2026-03-26,21.71,22.24,43.95,-0.53,28.19,-555.21
TLI,2026-03-27,84.70,45.07,129.77,39.62,35.93,-515.59
TLI,2026-03-30,39.11,48.55,87.65,-9.44,45.80,-525.03
TLI,2026-03-31,53.58,45.03,98.60,8.55,25.50,-516.48
TLI,2026-04-01,64.50,61.35,125.84,3.15,36.30,-513.33
TLI,2026-04-02,39.76,47.78,87.54,-8.03,28.53,-521.36
TLI,2026-04-03,45.03,44.07,89.10,0.96,34.00,-520.40
TLI,2026-04-07,72.58,37.46,110.03,35.12,29.97,-485.28
TLI,2026-04-08,63.91,34.83,98.74,29.08,23.07,-456.20
TLI,2026-04-09,22.25,46.98,69.22,-24.73,37.82,-480.93
TLI,2026-04-10,13.52,7.14,20.66,6.39,25.86,-474.54
TLI,2026-04-16,16.06,11.59,27.64,4.47,15.88,-470.07
TLI,2026-04-17,23.84,50.94,74.78,-27.10,34.19,-497.17
TLI,2026-04-20,12.12,14.04,26.16,-1.92,30.10,-499.09
TLI,2026-04-21,23.28,8.22,31.49,15.06,26.19,-484.03
