symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TOP,2026-03-05,458.28,631.59,1089.87,-173.31,45.59,-173.31
TOP,2026-03-06,342.37,424.06,766.43,-81.69,41.29,-255.00
TOP,2026-03-09,682.60,407.44,1090.04,275.16,38.92,20.16
TOP,2026-03-10,322.45,359.46,681.91,-37.01,46.56,-16.85
TOP,2026-03-11,223.77,322.96,546.73,-99.18,45.86,-116.03
TOP,2026-03-12,403.48,476.84,880.32,-73.36,42.77,-189.39
TOP,2026-03-13,254.11,499.04,753.14,-244.93,38.40,-434.32
TOP,2026-03-16,281.16,324.22,605.39,-43.06,33.27,-477.38
TOP,2026-03-17,452.84,608.41,1061.25,-155.56,35.17,-632.94
TOP,2026-03-18,261.88,398.90,660.78,-137.03,29.10,-769.97
TOP,2026-03-19,443.09,456.18,899.27,-13.09,36.90,-783.06
TOP,2026-03-20,729.98,549.56,1279.54,180.41,42.24,-602.65
TOP,2026-03-23,293.61,310.47,604.09,-16.86,42.68,-619.51
TOP,2026-03-24,676.16,534.46,1210.63,141.70,40.05,-477.81
TOP,2026-03-25,352.37,383.27,735.65,-30.90,33.10,-508.71
TOP,2026-03-26,266.44,407.83,674.26,-141.39,31.76,-650.10
TOP,2026-03-27,262.45,296.59,559.05,-34.14,37.08,-684.24
TOP,2026-03-30,377.12,334.93,712.05,42.19,28.84,-642.05
TOP,2026-03-31,227.96,446.32,674.28,-218.37,27.96,-860.42
TOP,2026-04-01,203.03,255.38,458.42,-52.35,28.66,-912.77
TOP,2026-04-02,367.51,365.56,733.07,1.94,27.08,-910.83
TOP,2026-04-03,287.98,241.62,529.60,46.36,21.53,-864.47
TOP,2026-04-07,525.80,214.86,740.66,310.94,26.71,-553.53
TOP,2026-04-08,229.68,285.60,515.27,-55.92,34.56,-609.45
TOP,2026-04-09,502.94,423.03,925.97,79.91,41.05,-529.54
TOP,2026-04-10,167.69,229.54,397.24,-61.85,35.05,-591.39
TOP,2026-04-16,256.83,171.14,427.97,85.70,27.80,-505.69
TOP,2026-04-17,198.44,157.24,355.69,41.20,33.73,-464.49
TOP,2026-04-20,98.55,148.05,246.60,-49.49,28.19,-513.98
TOP,2026-04-21,104.38,84.52,188.90,19.85,23.31,-494.13
