symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TRUE,2026-03-05,1629.09,2582.29,4211.38,-953.21,42.06,-953.21
TRUE,2026-03-06,651.17,842.28,1493.45,-191.11,40.31,-1144.32
TRUE,2026-03-09,1437.18,1388.92,2826.11,48.26,47.14,-1096.06
TRUE,2026-03-10,802.41,1231.85,2034.26,-429.43,45.54,-1525.49
TRUE,2026-03-11,1270.72,1416.51,2687.23,-145.78,45.10,-1671.27
TRUE,2026-03-12,1180.23,1111.97,2292.20,68.26,52.42,-1603.01
TRUE,2026-03-13,1023.12,1315.55,2338.67,-292.43,48.21,-1895.44
TRUE,2026-03-16,691.81,487.29,1179.10,204.51,32.96,-1690.93
TRUE,2026-03-17,1926.21,2022.66,3948.87,-96.45,39.84,-1787.38
TRUE,2026-03-18,787.59,1034.41,1822.00,-246.81,34.31,-2034.19
TRUE,2026-03-19,1310.86,1368.80,2679.67,-57.94,35.95,-2092.13
TRUE,2026-03-20,1190.43,2983.36,4173.79,-1792.92,39.33,-3885.05
TRUE,2026-03-23,1061.06,1242.39,2303.45,-181.33,48.49,-4066.38
TRUE,2026-03-24,1479.47,1565.44,3044.92,-85.97,43.49,-4152.35
TRUE,2026-03-25,979.40,1125.79,2105.19,-146.39,45.94,-4298.74
TRUE,2026-03-26,446.28,676.33,1122.61,-230.05,46.63,-4528.79
TRUE,2026-03-27,1245.73,1762.50,3008.23,-516.78,49.98,-5045.57
TRUE,2026-03-30,1515.20,1148.23,2663.43,366.97,57.31,-4678.60
TRUE,2026-03-31,1919.07,1403.59,3322.66,515.49,52.18,-4163.11
TRUE,2026-04-01,1761.12,1817.05,3578.17,-55.93,51.26,-4219.04
TRUE,2026-04-02,1120.13,965.76,2085.88,154.37,46.15,-4064.67
TRUE,2026-04-03,601.45,519.67,1121.11,81.78,45.33,-3982.89
TRUE,2026-04-07,625.14,673.83,1298.98,-48.69,50.96,-4031.58
TRUE,2026-04-08,985.94,970.67,1956.61,15.27,51.63,-4016.31
TRUE,2026-04-09,1727.77,1184.67,2912.44,543.09,51.94,-3473.22
TRUE,2026-04-10,544.32,602.37,1146.69,-58.05,57.40,-3531.27
TRUE,2026-04-16,549.65,613.17,1162.82,-63.52,50.27,-3594.79
TRUE,2026-04-17,758.71,897.90,1656.61,-139.19,47.02,-3733.98
TRUE,2026-04-20,213.82,113.19,327.01,100.63,49.14,-3633.35
TRUE,2026-04-21,433.50,523.52,957.01,-90.02,59.34,-3723.37
