symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TTB,2026-03-05,379.59,480.04,859.63,-100.45,39.03,-100.45
TTB,2026-03-06,230.26,221.32,451.58,8.94,48.74,-91.51
TTB,2026-03-09,327.14,438.77,765.91,-111.63,41.88,-203.14
TTB,2026-03-10,179.17,275.37,454.53,-96.20,30.57,-299.34
TTB,2026-03-11,279.87,313.01,592.88,-33.13,30.93,-332.47
TTB,2026-03-12,108.61,217.51,326.12,-108.90,36.87,-441.37
TTB,2026-03-13,504.63,274.18,778.80,230.45,45.92,-210.92
TTB,2026-03-16,119.37,262.90,382.26,-143.53,42.37,-354.45
TTB,2026-03-17,122.04,134.52,256.56,-12.48,24.10,-366.93
TTB,2026-03-18,373.02,374.42,747.44,-1.39,33.07,-368.32
TTB,2026-03-19,267.27,266.97,534.24,0.31,42.33,-368.01
TTB,2026-03-20,295.05,293.50,588.55,1.55,46.78,-366.46
TTB,2026-03-23,107.97,278.58,386.56,-170.61,32.89,-537.07
TTB,2026-03-24,185.54,239.30,424.84,-53.76,37.85,-590.83
TTB,2026-03-25,336.41,174.06,510.47,162.36,30.42,-428.47
TTB,2026-03-26,707.62,410.12,1117.74,297.51,40.55,-130.96
TTB,2026-03-27,228.54,273.17,501.71,-44.62,31.15,-175.58
TTB,2026-03-30,109.47,170.37,279.84,-60.90,51.63,-236.48
TTB,2026-03-31,240.15,283.85,524.00,-43.70,36.53,-280.18
TTB,2026-04-01,185.62,192.31,377.93,-6.69,26.82,-286.87
TTB,2026-04-02,143.34,93.30,236.64,50.04,29.27,-236.83
TTB,2026-04-03,297.91,365.15,663.06,-67.24,36.68,-304.07
TTB,2026-04-07,193.40,185.33,378.73,8.07,45.02,-296.00
TTB,2026-04-08,215.59,199.20,414.78,16.39,38.71,-279.61
TTB,2026-04-09,227.36,294.49,521.85,-67.13,41.85,-346.74
TTB,2026-04-10,153.49,323.25,476.74,-169.76,41.00,-516.50
TTB,2026-04-16,323.87,466.61,790.48,-142.74,42.10,-659.24
TTB,2026-04-17,222.40,493.01,715.41,-270.60,31.54,-929.84
TTB,2026-04-20,187.12,157.16,344.29,29.96,30.79,-899.88
TTB,2026-04-21,203.93,215.31,419.24,-11.38,30.32,-911.26
