symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
TU,2026-03-05,60.49,126.99,187.48,-66.51,35.56,-66.51
TU,2026-03-06,55.72,128.61,184.33,-72.89,44.21,-139.40
TU,2026-03-09,88.55,61.93,150.48,26.63,39.70,-112.77
TU,2026-03-10,25.47,43.15,68.63,-17.68,31.02,-130.45
TU,2026-03-11,14.41,50.38,64.79,-35.96,36.66,-166.41
TU,2026-03-12,52.77,105.45,158.22,-52.68,54.99,-219.09
TU,2026-03-13,59.45,86.17,145.61,-26.72,44.44,-245.81
TU,2026-03-16,21.14,28.51,49.65,-7.37,37.60,-253.18
TU,2026-03-17,53.20,18.85,72.06,34.35,28.42,-218.83
TU,2026-03-18,47.75,56.82,104.57,-9.07,37.06,-227.90
TU,2026-03-19,25.67,66.24,91.91,-40.56,36.88,-268.46
TU,2026-03-20,30.82,40.24,71.06,-9.43,29.81,-277.89
TU,2026-03-23,2.71,27.02,29.73,-24.32,27.91,-302.21
TU,2026-03-24,24.92,34.17,59.09,-9.25,22.47,-311.46
TU,2026-03-25,33.97,6.21,40.18,27.76,30.79,-283.70
TU,2026-03-26,34.53,27.58,62.11,6.95,29.92,-276.75
TU,2026-03-27,54.08,18.25,72.33,35.83,30.72,-240.92
TU,2026-03-30,58.54,27.24,85.78,31.31,39.13,-209.61
TU,2026-03-31,44.48,34.14,78.62,10.34,44.64,-199.27
TU,2026-04-01,62.91,59.93,122.85,2.98,38.25,-196.29
TU,2026-04-02,65.37,47.83,113.20,17.55,45.84,-178.74
TU,2026-04-03,27.19,27.29,54.48,-0.11,46.32,-178.85
TU,2026-04-07,103.44,29.11,132.56,74.33,32.69,-104.52
TU,2026-04-08,65.20,51.09,116.28,14.11,35.65,-90.41
TU,2026-04-09,73.53,28.82,102.35,44.71,32.24,-45.70
TU,2026-04-10,34.74,13.36,48.09,21.38,21.84,-24.32
TU,2026-04-16,97.82,86.60,184.42,11.22,34.92,-13.10
TU,2026-04-17,47.68,27.90,75.58,19.78,39.53,6.68
TU,2026-04-20,44.22,18.22,62.44,26.00,25.33,32.68
TU,2026-04-21,24.12,31.60,55.72,-7.47,32.97,25.21
