symbol,date,buy_mb,sell_mb,buy_sell_mb,net_mb,nvdr_pct,cumulative_net_mb
WHA,2026-03-05,237.22,289.23,526.44,-52.01,31.20,-52.01
WHA,2026-03-06,120.53,147.39,267.92,-26.85,37.97,-78.86
WHA,2026-03-09,203.10,216.32,419.42,-13.22,30.74,-92.08
WHA,2026-03-10,116.58,238.72,355.31,-122.14,33.68,-214.22
WHA,2026-03-11,117.55,226.58,344.13,-109.03,28.75,-323.25
WHA,2026-03-12,61.08,151.40,212.48,-90.32,27.07,-413.57
WHA,2026-03-13,51.34,117.35,168.69,-66.01,26.22,-479.58
WHA,2026-03-16,30.80,70.06,100.86,-39.26,25.93,-518.84
WHA,2026-03-17,76.74,130.36,207.10,-53.61,19.11,-572.45
WHA,2026-03-18,111.81,158.45,270.26,-46.65,26.11,-619.10
WHA,2026-03-19,69.56,140.56,210.12,-71.01,26.25,-690.11
WHA,2026-03-20,73.69,101.47,175.16,-27.78,28.28,-717.89
WHA,2026-03-23,102.75,107.46,210.21,-4.72,22.93,-722.61
WHA,2026-03-24,103.66,123.98,227.63,-20.32,26.24,-742.93
WHA,2026-03-25,296.56,192.52,489.08,104.04,37.77,-638.89
WHA,2026-03-26,381.38,167.34,548.72,214.04,41.13,-424.85
WHA,2026-03-27,83.81,118.78,202.58,-34.97,26.75,-459.82
WHA,2026-03-30,76.61,52.96,129.57,23.65,36.09,-436.17
WHA,2026-03-31,58.87,49.46,108.34,9.41,23.32,-426.76
WHA,2026-04-01,133.20,91.40,224.59,41.80,20.78,-384.96
WHA,2026-04-02,124.86,171.29,296.15,-46.43,26.88,-431.39
WHA,2026-04-03,133.76,94.90,228.66,38.86,22.62,-392.53
WHA,2026-04-07,60.88,56.26,117.14,4.62,29.23,-387.91
WHA,2026-04-08,78.01,46.14,124.15,31.88,18.63,-356.03
WHA,2026-04-09,20.78,64.07,84.85,-43.29,26.63,-399.32
WHA,2026-04-10,23.59,33.97,57.56,-10.38,20.04,-409.70
WHA,2026-04-16,231.19,131.70,362.89,99.49,24.09,-310.21
WHA,2026-04-17,84.03,112.29,196.32,-28.26,26.75,-338.47
WHA,2026-04-20,52.34,56.54,108.87,-4.20,24.08,-342.67
WHA,2026-04-21,154.19,102.35,256.54,51.84,21.20,-290.83
