symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,avg_daily_net_mb,period_top_buy_day,period_top_buy_net_mb,period_top_sell_day,period_top_sell_net_mb
PTTEP,Energy,30,"50,684.61","35,253.21","85,937.79","15,431.41",514.38,2026-03-19,"1,681.32",2026-03-09,-727.27
BBL,Banking,30,"15,402.80","13,526.68","28,929.48","1,876.10",62.54,2026-03-05,"1,281.70",2026-04-03,-289.95
SCC,Conmat,30,"13,682.63","11,952.27","25,634.90","1,730.36",57.68,2026-04-16,"1,344.31",2026-03-05,-184.07
PTTGC,Petro,30,"12,920.28","11,424.55","24,344.86","1,495.76",49.86,2026-04-01,504.42,2026-04-17,-202.15
PTT,Energy,30,"43,753.05","42,813.30","86,566.32",939.73,31.32,2026-04-02,668.51,2026-03-16,-495.69
KKP,Banking,30,"4,758.53","3,951.51","8,710.03",806.95,26.90,2026-04-01,434.93,2026-04-17,-98.55
KBANK,Banking,30,"30,933.61","30,409.62","61,343.26",523.99,17.47,2026-04-21,"3,080.86",2026-03-23,-559.50
BANPU,Energy,30,"5,220.70","5,084.54","10,305.26",136.15,4.54,2026-03-05,269.86,2026-04-17,-157.12
CENTEL,Tourism,30,"1,918.81","1,841.96","3,760.78",76.88,2.56,2026-04-20,62.83,2026-03-17,-49.27
RATCH,Energy,30,"1,142.08","1,099.68","2,241.76",42.36,1.41,2026-03-25,47.20,2026-03-13,-31.20
TU,Food,30,"1,434.89","1,409.70","2,844.60",25.21,0.84,2026-04-07,74.33,2026-03-06,-72.89
OSP,Food,30,"1,761.87","1,792.00","3,553.88",-30.13,-1.00,2026-03-27,67.84,2026-03-10,-113.77
CRC,Commerce,30,"3,022.58","3,083.14","6,105.75",-60.57,-2.02,2026-03-30,105.25,2026-03-19,-96.61
BTS,Trans,30,869.82,966.44,"1,836.23",-96.68,-3.22,2026-04-02,40.96,2026-03-05,-33.17
CCET,Etron,30,"1,537.20","1,634.48","3,171.70",-97.30,-3.24,2026-03-25,49.28,2026-03-11,-48.48
SAWAD,Finance,30,"3,003.45","3,102.17","6,105.63",-98.72,-3.29,2026-03-30,63.11,2026-04-09,-83.34
LH,Property,30,"1,023.79","1,125.74","2,149.55",-101.95,-3.40,2026-04-08,37.18,2026-03-06,-45.21
CBG,Food,30,"1,254.58","1,368.05","2,622.65",-113.46,-3.78,2026-03-30,35.67,2026-03-05,-48.29
BJC,Commerce,30,"1,007.28","1,130.23","2,137.50",-122.93,-4.10,2026-03-30,32.64,2026-03-19,-35.48
SCGP,Packaging,30,"2,987.15","3,117.81","6,104.91",-130.66,-4.36,2026-04-10,98.19,2026-03-18,-90.28
HMPRO,Commerce,30,"1,855.02","2,009.60","3,864.62",-154.60,-5.15,2026-04-08,69.07,2026-03-05,-108.77
IVL,Petro,30,"7,111.06","7,288.17","14,399.24",-177.12,-5.90,2026-03-30,367.49,2026-03-18,-254.15
EGCO,Energy,30,"1,214.95","1,403.51","2,618.47",-188.58,-6.29,2026-03-31,65.52,2026-03-13,-78.36
AWC,Property,30,"1,004.90","1,205.84","2,210.74",-200.95,-6.70,2026-04-17,27.57,2026-03-19,-49.83
BEM,Trans,30,"1,298.24","1,579.41","2,877.64",-281.14,-9.37,2026-04-08,52.49,2026-03-05,-55.26
WHA,Property,30,"3,470.47","3,761.30","7,231.74",-290.83,-9.69,2026-03-26,214.04,2026-03-10,-122.14
CPF,Food,30,"8,910.01","9,318.97","18,229.00",-408.98,-13.63,2026-03-20,195.03,2026-03-05,-347.77
TCAP,Banking,30,"1,788.00","2,197.39","3,985.35",-409.34,-13.64,2026-04-21,36.64,2026-03-09,-64.87
TLI,Insurance,30,"1,121.22","1,605.23","2,726.43",-484.03,-16.13,2026-03-27,39.62,2026-03-05,-114.83
TOP,Energy,30,"10,254.95","10,749.07","21,004.07",-494.13,-16.47,2026-04-07,310.94,2026-03-13,-244.93
CPN,Property,30,"7,468.74","7,990.23","15,458.99",-521.46,-17.38,2026-03-20,112.54,2026-03-10,-192.92
OR,Energy,30,"2,692.41","3,372.47","6,064.88",-680.07,-22.67,2026-03-09,71.74,2026-03-05,-177.06
MTC,Finance,30,"3,884.76","4,581.87","8,466.61",-697.09,-23.24,2026-03-09,162.68,2026-03-25,-224.12
GPSC,Energy,30,"3,246.93","4,105.29","7,352.23",-858.34,-28.61,2026-03-23,100.18,2026-03-10,-146.83
TTB,Banking,30,"7,455.75","8,367.08","15,822.81",-911.26,-30.38,2026-03-26,297.51,2026-04-17,-270.60
DELTA,Etron,30,"54,065.42","55,084.43","109,149.87","-1,018.97",-33.97,2026-04-09,"2,713.60",2026-03-26,"-1,119.55"
TIDLOR,Finance,30,"2,462.37","3,579.20","6,041.58","-1,116.84",-37.23,2026-04-08,104.94,2026-03-25,-134.55
COM7,Commerce,30,"3,033.46","4,313.46","7,346.92","-1,280.01",-42.67,2026-03-27,28.12,2026-04-17,-153.09
TISCO,Banking,30,"4,871.86","6,159.20","11,031.08","-1,287.31",-42.91,2026-04-07,145.74,2026-03-09,-251.31
KTC,Finance,30,"3,968.59","5,757.08","9,725.67","-1,788.49",-59.62,2026-04-20,158.19,2026-03-05,-314.66
BDMS,Helth,30,"11,021.79","13,314.60","24,336.34","-2,292.84",-76.43,2026-04-08,194.18,2026-03-12,-459.68
CPALL,Commerce,30,"14,817.14","17,150.69","31,967.87","-2,333.59",-77.79,2026-03-27,629.01,2026-03-05,-649.50
KTB,Banking,30,"20,832.28","23,324.83","44,157.11","-2,492.55",-83.09,2026-04-17,856.44,2026-03-06,-569.51
BH,Helth,30,"8,433.91","10,934.35","19,368.32","-2,500.44",-83.35,2026-04-01,193.56,2026-03-05,-378.38
MINT,Tourism,30,"5,099.62","7,604.29","12,703.91","-2,504.62",-83.49,2026-04-07,145.04,2026-03-05,-348.71
AOT,Trans,30,"16,161.02","19,342.60","35,503.63","-3,181.59",-106.05,2026-04-16,342.54,2026-03-06,-812.56
TRUE,ICT,30,"31,868.58","35,591.96","67,460.55","-3,723.37",-124.11,2026-04-09,543.09,2026-03-20,"-1,792.92"
GULF,Energy,30,"19,662.74","23,659.69","43,322.48","-3,996.91",-133.23,2026-03-27,356.55,2026-03-23,-565.60
SCB,Banking,30,"20,702.92","26,095.59","46,798.53","-5,392.65",-179.75,2026-03-26,480.08,2026-04-21,-924.69
ADVANC,ICT,30,"28,188.60","34,305.91","62,494.51","-6,117.37",-203.91,2026-04-20,230.53,2026-04-17,"-1,277.38"
