sector,date,buy_mb,sell_mb,buy_sell_mb,net_mb,cumulative_net_mb
Energy,2026-03-05,8589.57,8498.18,17087.76,91.40,91.40
Energy,2026-03-06,4164.49,4747.33,8911.80,-582.79,-491.39
Energy,2026-03-09,6815.71,7764.29,14580.03,-948.58,-1439.97
Energy,2026-03-10,4159.88,5147.54,9307.43,-987.66,-2427.63
Energy,2026-03-11,4594.63,4237.74,8832.38,356.91,-2070.72
Energy,2026-03-12,5755.63,5369.71,11125.31,385.92,-1684.80
Energy,2026-03-13,5445.42,4946.36,10391.77,499.04,-1185.76
Energy,2026-03-16,2998.19,4332.25,7330.45,-1334.05,-2519.81
Energy,2026-03-17,5401.56,4414.58,9816.15,986.99,-1532.82
Energy,2026-03-18,2607.78,3273.57,5881.37,-665.80,-2198.62
Energy,2026-03-19,6303.37,5085.68,11389.05,1217.69,-980.93
Energy,2026-03-20,5701.24,5490.10,11191.35,211.12,-769.81
Energy,2026-03-23,4427.08,4259.71,8686.79,167.36,-602.45
Energy,2026-03-24,4588.82,4568.53,9157.37,20.28,-582.17
Energy,2026-03-25,4605.40,3833.87,8439.26,771.53,189.36
Energy,2026-03-26,6569.73,4824.32,11394.03,1745.41,1934.77
Energy,2026-03-27,4993.88,3254.88,8248.78,1738.98,3673.75
Energy,2026-03-30,3739.90,3988.13,7728.03,-248.23,3425.52
Energy,2026-03-31,4146.75,4261.91,8408.65,-115.17,3310.35
Energy,2026-04-01,4903.02,4415.68,9318.72,487.31,3797.66
Energy,2026-04-02,4266.93,3430.87,7697.80,836.04,4633.70
Energy,2026-04-03,2545.49,3302.77,5848.27,-757.27,3876.43
Energy,2026-04-07,4051.09,2550.94,6602.03,1500.14,5376.57
Energy,2026-04-08,4885.00,4100.95,8985.95,784.04,6160.61
Energy,2026-04-09,5481.92,4495.99,9977.90,985.92,7146.53
Energy,2026-04-10,2316.14,2110.08,4426.22,206.06,7352.59
Energy,2026-04-16,4611.43,3943.17,8554.60,668.28,8020.87
Energy,2026-04-17,3645.78,2305.81,5951.61,1339.96,9360.83
Energy,2026-04-20,3624.64,2679.98,6304.62,944.69,10305.52
Energy,2026-04-21,1931.95,1905.84,3837.78,26.10,10331.62
Conmat,2026-03-05,312.52,496.59,809.11,-184.07,-184.07
Conmat,2026-03-06,314.63,327.02,641.65,-12.39,-196.46
Conmat,2026-03-09,878.90,906.30,1785.20,-27.40,-223.86
Conmat,2026-03-10,299.92,472.11,772.02,-172.19,-396.05
Conmat,2026-03-11,371.86,470.31,842.17,-98.45,-494.50
Conmat,2026-03-12,341.56,468.23,809.79,-126.67,-621.17
Conmat,2026-03-13,291.05,377.86,668.91,-86.80,-707.97
Conmat,2026-03-16,209.64,222.06,431.70,-12.43,-720.40
Conmat,2026-03-17,633.47,367.95,1001.42,265.51,-454.89
Conmat,2026-03-18,236.39,382.28,618.66,-145.89,-600.78
Conmat,2026-03-19,247.11,351.69,598.80,-104.57,-705.35
Conmat,2026-03-20,448.28,442.16,890.45,6.12,-699.23
Conmat,2026-03-23,207.55,260.87,468.42,-53.32,-752.55
Conmat,2026-03-24,405.24,476.39,881.63,-71.15,-823.70
