symbol,sector,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,trading_days
ADVANC,ICT,"28,188.60","34,305.91","62,494.51","-6,117.37",30
SCB,Banking,"20,702.92","26,095.59","46,798.53","-5,392.65",30
GULF,Energy,"19,662.74","23,659.69","43,322.48","-3,996.91",30
TRUE,ICT,"31,868.58","35,591.96","67,460.55","-3,723.37",30
AOT,Trans,"16,161.02","19,342.60","35,503.63","-3,181.59",30
MINT,Tourism,"5,099.62","7,604.29","12,703.91","-2,504.62",30
BH,Helth,"8,433.91","10,934.35","19,368.32","-2,500.44",30
KTB,Banking,"20,832.28","23,324.83","44,157.11","-2,492.55",30
CPALL,Commerce,"14,817.14","17,150.69","31,967.87","-2,333.59",30
BDMS,Helth,"11,021.79","13,314.60","24,336.34","-2,292.84",30
